player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,totalLongBalls,goals,label,match_id,date,possLostAll,country,league_name,season
I. Čović,8usoj500juhjeijoxqicqcyqd,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,NaN,NaN,Goalkeeper,Centre,NaN,9,NaN,NaN,1,13,1,NaN,3,14,16,90,19,5,8,11,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,18,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,11,HRV,HNL,2025_2026
L. Zuta,41imdq837fapbgvnrkimw6e39,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,1,NaN,Defender,Left,NaN,23,NaN,4,1,15,2,NaN,8,35,16,90,24,9,4,20,1,10,NaN,3,NaN,2,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,5,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,15,HRV,HNL,2025_2026
D. Kovačić,9a1f1avsg4f7pa0sm6pkdm95h,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,1,NaN,Defender,Left/Centre,NaN,45,NaN,4,NaN,39,3,NaN,7,56,43,90,28,7,7,16,3,9,NaN,2,NaN,4,2,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,9,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,14,HRV,HNL,2025_2026
T. Božić,cqwcrwtwcbs9p0p85r7jmc7v9,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,1,NaN,Defender,Centre/Right,NaN,32,NaN,3,2,23,3,NaN,10,43,24,90,23,14,3,20,7,15,NaN,3,NaN,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,12,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,13,HRV,HNL,2025_2026
F. Krušelj,f1wwsk64a72nbj4uygwrpoxsk,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,NaN,NaN,Defender,Right,NaN,24,2,7,5,13,3,2,13,36,17,90,19,5,6,24,4,8,1,1,1,3,5,4,5,1,1,1,NaN,NaN,1,NaN,NaN,NaN,NaN,,,433,3,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,20,HRV,HNL,2025_2026
I. Ćubelić,2uoqktyygd6quotp195rvo6lm,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,5,NaN,Midfielder,Left/Centre,NaN,28,NaN,5,NaN,17,5,NaN,11,45,20,90,20,4,7,25,3,10,1,1,1,2,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,3,3,,,433,3,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,22,HRV,HNL,2025_2026
M. Agbekpornu,62hp7bk1fk5jlhlo3ipkzdlre,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,6,2,Midfielder,Centre,NaN,23,NaN,2,1,15,2,NaN,10,30,19,58,9,3,5,13,3,6,NaN,1,NaN,3,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,1,1,,,433,5,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,11,HRV,HNL,2025_2026
A. Jagušić,8e0f4d0nke8zpryrnvlo93rbo,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,3,NaN,Midfielder,Centre/Right,NaN,29,3,11,5,16,1,2,15,37,18,89,7,4,9,21,7,10,NaN,NaN,NaN,7,NaN,NaN,NaN,3,1,NaN,NaN,1,NaN,NaN,NaN,2,2,,,433,4,2,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,15,HRV,HNL,2025_2026
J. Mitrović,dv5vvl5q1ll35ftysze6fozjd,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,2,NaN,Striker,Left/Centre,NaN,12,1,5,3,5,NaN,NaN,7,19,7,82,6,2,6,12,5,9,NaN,3,1,3,NaN,NaN,NaN,2,6,3,NaN,3,NaN,1,NaN,1,1,,,433,NaN,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,12,HRV,HNL,2025_2026
I. Nestorovski,ewt8nxg2m27fj0n7dr9hbul05,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,5,1,Striker,Centre,NaN,22,1,6,3,14,1,1,9,35,17,89,8,5,5,19,4,11,NaN,3,NaN,4,NaN,NaN,NaN,2,5,2,1,NaN,NaN,NaN,NaN,3,3,,,433,3,2,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,20,HRV,HNL,2025_2026
A. Šuto,4an8xrcoiz0th7347aradjo5w,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,3,2,Striker,Centre/Right,NaN,13,NaN,4,1,4,2,NaN,9,15,4,89,3,1,5,12,6,8,NaN,NaN,1,1,1,1,1,NaN,4,NaN,NaN,2,NaN,1,NaN,2,2,,,433,1,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,7,HRV,HNL,2025_2026
M. Barać,5oqn6kqq5b2jqtidry3g19u96,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,NaN,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,NaN,HRV,HNL,2025_2026
L. Bošnjak,f2wo2ju2b28i5wkysd1j8k104,Slaven Koprivnica,ahpwadw516qqa39whahl0o939,1,NaN,Substitute,NaN,Midfielder,2,NaN,NaN,NaN,NaN,NaN,NaN,2,2,NaN,1,NaN,NaN,NaN,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,NaN,NaN,Slaven Koprivnica vs Vukovar,9ufcogp48ef0vr8bq70d1s6qc,2025-11-21,1,HRV,HNL,2025_2026
