player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,totalLongBalls,goals,label,match_id,date,possLostAll,country,league_name,season
T. Wieggers,1chxk7d4i11x2f16igblexgyc,De Graafschap,xcevba75jfkrg4s6tl89zl3y,NaN,NaN,Goalkeeper,Centre,NaN,14,NaN,NaN,NaN,14,1,NaN,3,21,17,90,15,5,5,9,1,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,13,NaN,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,10,NLD,Eerste_Divisie,2025_2026
L. Schoppema,117h1l06g6f9osjp3pbb4tvro,De Graafschap,xcevba75jfkrg4s6tl89zl3y,2,1,Defender,Left,NaN,29,1,4,1,21,3,1,9,36,26,70,13,3,6,11,7,9,1,2,2,2,NaN,NaN,NaN,1,2,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,433,2,NaN,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,9,NLD,Eerste_Divisie,2025_2026
T. Kok,2aj6bhz3zr9i4kasqpdynptk9,De Graafschap,xcevba75jfkrg4s6tl89zl3y,4,4,Defender,Left/Centre,NaN,51,NaN,NaN,1,40,2,NaN,20,58,43,90,21,6,2,24,6,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,6,NaN,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,7,NLD,Eerste_Divisie,2025_2026
R. Besselink,9urh0cy0a8ni61fuxmiqosnis,De Graafschap,xcevba75jfkrg4s6tl89zl3y,4,2,Defender,Centre/Right,NaN,32,1,9,8,20,1,1,12,36,23,90,11,7,1,15,6,7,NaN,5,1,NaN,1,1,1,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,4,NaN,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,16,NLD,Eerste_Divisie,2025_2026
O. Raterink,6bd8f7n398r2c92uve249rzmc,De Graafschap,xcevba75jfkrg4s6tl89zl3y,3,NaN,Defender,Right,NaN,23,1,2,3,15,NaN,NaN,8,25,16,90,13,1,1,11,4,5,1,NaN,1,1,NaN,2,NaN,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,3,1,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,7,NLD,Eerste_Divisie,2025_2026
T. Gijselhart,51wk4k31q480j6wst4epgt8us,De Graafschap,xcevba75jfkrg4s6tl89zl3y,6,1,Midfielder,Left/Centre,NaN,37,2,5,1,20,1,NaN,21,47,20,90,25,11,5,32,13,18,1,1,1,4,3,1,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,6,NaN,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,13,NLD,Eerste_Divisie,2025_2026
M. Smits,d0cjwmwpqlw7y5f8sksxivoyc,De Graafschap,xcevba75jfkrg4s6tl89zl3y,2,1,Midfielder,Centre,NaN,12,NaN,2,1,6,1,NaN,7,16,8,85,5,2,2,10,4,4,NaN,NaN,NaN,NaN,2,1,2,4,6,4,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,433,NaN,1,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,7,NLD,Eerste_Divisie,2025_2026
R. Niemeijer,8gblufcpx2yb27qdg1e12yne1,De Graafschap,xcevba75jfkrg4s6tl89zl3y,5,2,Midfielder,Centre/Right,NaN,12,NaN,2,3,5,NaN,NaN,9,23,5,90,5,7,1,20,6,15,2,1,2,1,1,1,1,3,6,3,NaN,NaN,1,NaN,NaN,1,1,1,1,433,4,NaN,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,11,NLD,Eerste_Divisie,2025_2026
I. El Kadiri,10ijtddqmzbhx3qtlhbyn4rca,De Graafschap,xcevba75jfkrg4s6tl89zl3y,4,2,Striker,Left/Centre,NaN,39,5,8,12,16,2,4,28,45,19,81,8,4,7,39,17,20,5,NaN,6,4,NaN,7,NaN,3,5,2,NaN,1,2,NaN,NaN,3,1,NaN,NaN,433,9,NaN,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,20,NLD,Eerste_Divisie,2025_2026
D. Theodoridis,c746znpcff8xjsow0cnyxt7v8,De Graafschap,xcevba75jfkrg4s6tl89zl3y,8,1,Striker,Centre,NaN,5,2,4,1,4,NaN,NaN,3,5,4,81,1,NaN,NaN,4,3,3,NaN,NaN,NaN,NaN,NaN,1,NaN,2,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,433,NaN,1,De Graafschap vs VVV,bz1ytb6nvt5rj322vs4jh2bys,2025-08-08,7,NLD,Eerste_Divisie,2025_2026
