player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll
N. Larsen,b2492j7qzdo7g3ysxz6gq4g5x,ahnt9ejgwj58ul8auzdvi3czf,1,1,Goalkeeper,Centre,NaN,15,NaN,NaN,NaN,23,1,NaN,NaN,16,25,90,12,2,9,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,4
L. Engel,a4q12zbpltgmiuce4cae0cm0a,ahnt9ejgwj58ul8auzdvi3czf,2,NaN,Defender,Left,NaN,61,1,3,5,26,3,1,36,68,30,90,13,1,4,43,21,22,1,1,1,NaN,2,4,2,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,13
A. Busch,ew91bx066dre4xck30vmz10yc,ahnt9ejgwj58ul8auzdvi3czf,NaN,NaN,Defender,Left/Centre,NaN,62,NaN,1,1,49,5,NaN,14,70,54,90,29,7,6,17,5,8,NaN,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,8
T. Salquist,chjcbjc5nv8uyiusfafts5zv9,ahnt9ejgwj58ul8auzdvi3czf,3,3,Defender,Centre/Right,NaN,59,NaN,2,NaN,46,3,NaN,13,68,52,90,29,4,4,16,2,4,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,10
O. Sonne,55u45p7vwom7civ3xy3hdf71m,ahnt9ejgwj58ul8auzdvi3czf,5,1,Defender,Right,NaN,25,1,4,3,16,2,NaN,12,34,19,90,10,3,4,21,5,10,NaN,2,NaN,2,1,4,1,NaN,3,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,17
A. Klynge,lioz4hr2umpne2bwar18qa96,ahnt9ejgwj58ul8auzdvi3czf,2,NaN,Midfielder,Left/Centre,NaN,62,2,3,6,20,6,1,43,73,22,90,28,15,15,55,25,32,2,NaN,2,7,1,2,1,NaN,3,NaN,NaN,2,NaN,1,NaN,2,2,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,16
M. Brink,5r1v2w303bvj0vv1893qr5d5h,ahnt9ejgwj58ul8auzdvi3czf,2,NaN,Midfielder,Centre,NaN,87,1,3,1,47,NaN,1,46,93,47,90,29,13,7,53,17,20,2,NaN,2,6,1,1,1,NaN,NaN,NaN,1,1,NaN,NaN,1,NaN,NaN,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,10
P. Mattsson,bplpqy3ierwlm12d1f3prue7e,ahnt9ejgwj58ul8auzdvi3czf,8,2,Midfielder,Centre/Right,NaN,33,2,9,2,16,1,2,19,40,19,90,18,3,3,24,6,10,NaN,NaN,NaN,2,NaN,1,NaN,2,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,12
F. Carlsen,alqg6ch3anqkq9613hu6m1d04,ahnt9ejgwj58ul8auzdvi3czf,4,NaN,Attacking Midfielder,Left/Centre,NaN,24,2,3,2,10,NaN,2,14,29,12,63,9,1,2,18,11,13,NaN,1,NaN,2,NaN,1,NaN,NaN,2,NaN,1,NaN,NaN,NaN,NaN,4,3,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,9
S. Tengstedt,a2psnkhu3h7m0ng8e7qdietey,ahnt9ejgwj58ul8auzdvi3czf,5,1,Attacking Midfielder,Centre/Right,NaN,19,1,3,2,11,NaN,1,10,21,11,63,4,NaN,1,12,7,7,NaN,NaN,NaN,1,NaN,NaN,NaN,2,3,1,NaN,NaN,NaN,NaN,NaN,1,1,,,4321,NaN,Silkeborg vs Vejle,9i3x490hhan0dn19319w7icd0,2023-08-04,6
