playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
A. Brenkus,Dukla Banská Bystrica,Ružomberok vs Dukla Banská Bystrica,0.0,0.0
A. Danko,Podbrezová,Podbrezová vs Žilina,0.0,0.0
A. Gajdoš,Trenčín,Spartak Trnava vs Trenčín,0.0,0.0
A. Gaži,Skalica,Skalica vs Zemplín Michalovce,0.0,0.0
A. Hanes,Dukla Banská Bystrica,Ružomberok vs Dukla Banská Bystrica,0.0,0.0
A. Kaprálik,Žilina,Podbrezová vs Žilina,0.0,0.0
A. Kopas,Skalica,Skalica vs Zemplín Michalovce,0.0,0.0
A. Krčík,Skalica,Skalica vs Zemplín Michalovce,0.0,0.0
A. Mojžiš,Ružomberok,Ružomberok vs Dukla Banská Bystrica,0.0,0.0
A. Morong,Skalica,Skalica vs Zemplín Michalovce,0.0,0.0
A. Mustafić,Slovan Bratislava,Komárno vs Slovan Bratislava,0.0,0.0
A. Popović,DAC 1904,FC Košice vs DAC 1904,0.0,0.0
A. Stojchevski,Žilina,Podbrezová vs Žilina,0.0,0.0
A. Tučný,Ružomberok,Ružomberok vs Dukla Banská Bystrica,0.0,0.0
A. Yirajang,Podbrezová,Podbrezová vs Žilina,0.0,0.0
A. Zeljković,Spartak Trnava,Spartak Trnava vs Trenčín,0.0,0.0
A. Zubairu,Zemplín Michalovce,Skalica vs Zemplín Michalovce,0.0,0.0
A. Đerlek,Trenčín,Spartak Trnava vs Trenčín,0.0,0.0
Alex Méndez,DAC 1904,FC Košice vs DAC 1904,0.0,0.0
B. Donkor,Trenčín,Spartak Trnava vs Trenčín,0.0,0.0
B. Godál,Dukla Banská Bystrica,Ružomberok vs Dukla Banská Bystrica,0.0,0.0
B. Ľupták,Dukla Banská Bystrica,Ružomberok vs Dukla Banská Bystrica,0.0,0.0
C. Bayemi,Komárno,Komárno vs Slovan Bratislava,0.0,0.0
C. Emeka,Trenčín,Spartak Trnava vs Trenčín,0.0,0.0
C. Herc,DAC 1904,FC Košice vs DAC 1904,0.0,0.0
D. Alijagić,Žilina,Podbrezová vs Žilina,0.0,0.0
D. Depetris,Podbrezová,Podbrezová vs Žilina,0.0,0.0
D. Gallovič,FC Košice,FC Košice vs DAC 1904,0.0,0.0
D. Javorček,Žilina,Podbrezová vs Žilina,0.0,0.0
D. Kružliak,FC Košice,FC Košice vs DAC 1904,0.0,0.0
D. Magda,FC Košice,FC Košice vs DAC 1904,0.0,0.0
D. Ožvolda,Komárno,Komárno vs Slovan Bratislava,0.0,0.0
D. Petrík,Zemplín Michalovce,Skalica vs Zemplín Michalovce,0.0,0.0
D. Redzic,DAC 1904,FC Košice vs DAC 1904,0.0,0.0
D. Richtárech,Dukla Banská Bystrica,Ružomberok vs Dukla Banská Bystrica,0.0,0.0
D. Smékal,Podbrezová,Podbrezová vs Žilina,0.0,0.0
D. Strelec,Slovan Bratislava,Komárno vs Slovan Bratislava,0.0,0.0
D. Takáč,FC Košice,FC Košice vs DAC 1904,0.0,0.0
D. Taraduda,Zemplín Michalovce,Skalica vs Zemplín Michalovce,0.0,0.0
D. Veselovský,Dukla Banská Bystrica,Ružomberok vs Dukla Banská Bystrica,0.0,0.0
D. Ďuriš,Žilina,Podbrezová vs Žilina,0.0,0.0
D. Špiriak,Komárno,Komárno vs Slovan Bratislava,0.0,0.0
D. Šípoš,FC Košice,FC Košice vs DAC 1904,0.0,0.0
Davi Alves,Skalica,Skalica vs Zemplín Michalovce,0.0,0.0
E. Arevalo,Zemplín Michalovce,Skalica vs Zemplín Michalovce,0.0,0.0
E. Bille,Žilina,Podbrezová vs Žilina,0.0,0.0
E. Isaac,Slovan Bratislava,Komárno vs Slovan Bratislava,0.0,0.0
E. Pačinda,Zemplín Michalovce,Skalica vs Zemplín Michalovce,0.0,0.0
E. Uchegbu,Trenčín,Spartak Trnava vs Trenčín,0.0,0.0
F. Bainovič,Spartak Trnava,Spartak Trnava vs Trenčín,0.0,0.0
F. Kóša,Žilina,Podbrezová vs Žilina,0.0,0.0
F. Twardzik,Spartak Trnava,Spartak Trnava vs Trenčín,0.0,0.0
G. Ganbold,Komárno,Komárno vs Slovan Bratislava,0.0,0.0
G. Kashia,Slovan Bratislava,Komárno vs Slovan Bratislava,0.0,0.0
G. Nagy,Komárno,Komárno vs Slovan Bratislava,0.0,0.0
G. Niarchos,FC Košice,FC Košice vs DAC 1904,0.0,0.0
