player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
J. Widell Zetterström,1xmg6k4n9a6zmhmq6ysq6tch6,Djurgården,czkf5t3ai00ghwbga03i5aqxw,NaN,NaN,Goalkeeper,Centre,NaN,7,NaN,NaN,1,8,2,NaN,3,10,8,90,21,6,5,15,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,12,SWE,Allsvenskan
E. Andersson,96uzhuuez4q5pgxb566ryk53p,Djurgården,czkf5t3ai00ghwbga03i5aqxw,2,NaN,Defender,Left,NaN,43,1,3,11,22,5,NaN,28,52,26,90,15,7,5,42,19,22,3,NaN,4,NaN,3,5,3,1,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,21,SWE,Allsvenskan
M. Danielson,23p0dby12ymf55wwi0xz2fnx1,Djurgården,czkf5t3ai00ghwbga03i5aqxw,5,3,Defender,Left/Centre,NaN,59,NaN,3,NaN,29,4,NaN,31,63,32,90,16,8,6,32,8,9,NaN,3,NaN,2,3,NaN,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,6,SWE,Allsvenskan
J. Löfgren,a97r48wblkhztm400rnvciok5,Djurgården,czkf5t3ai00ghwbga03i5aqxw,3,2,Defender,Centre/Right,NaN,73,NaN,3,NaN,45,2,NaN,30,78,46,90,14,8,4,34,7,9,NaN,1,NaN,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,5,SWE,Allsvenskan
P. Johansson,7yld2a7aw6d3lmmwpu1wovxsl,Djurgården,czkf5t3ai00ghwbga03i5aqxw,3,NaN,Defender,Right,NaN,60,2,6,2,27,1,2,34,65,27,90,25,10,4,40,14,18,1,1,1,3,1,2,1,NaN,3,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,9,SWE,Allsvenskan
M. Eriksson,6736te1pno19jo5i82obbns2d,Djurgården,czkf5t3ai00ghwbga03i5aqxw,2,NaN,Midfielder,Left/Centre,NaN,52,1,5,6,12,1,NaN,42,59,12,90,21,12,4,53,25,31,1,NaN,1,3,1,5,1,2,2,NaN,NaN,NaN,1,NaN,NaN,1,1,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,14,SWE,Allsvenskan
R. Schüller,7pel84swlqfux6obt6lznze1h,Djurgården,czkf5t3ai00ghwbga03i5aqxw,2,NaN,Midfielder,Centre,NaN,63,NaN,1,1,28,4,NaN,37,70,30,90,11,10,8,43,16,20,NaN,NaN,NaN,3,4,1,4,1,2,1,NaN,1,NaN,NaN,NaN,1,1,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,9,SWE,Allsvenskan
H. Finndell,6051gs5j7d6zss35h2twoqnd,Djurgården,czkf5t3ai00ghwbga03i5aqxw,10,1,Midfielder,Centre/Right,NaN,31,NaN,4,6,6,NaN,NaN,25,38,8,84,8,6,3,31,14,19,2,NaN,2,1,NaN,1,NaN,4,7,3,NaN,2,NaN,NaN,NaN,1,NaN,,,433,2,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,10,SWE,Allsvenskan
G. Wikheim,4oxlpwcwpa44hstpm70iep0id,Djurgården,czkf5t3ai00ghwbga03i5aqxw,5,NaN,Striker,Left/Centre,NaN,16,1,1,6,2,NaN,1,19,22,3,68,5,1,1,27,14,19,2,NaN,2,1,NaN,2,NaN,2,5,2,NaN,NaN,NaN,1,NaN,1,1,,,433,1,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,14,SWE,Allsvenskan
O. Berg,b9tsqyrv0xp0tt5nzwrmy9gb9,Djurgården,czkf5t3ai00ghwbga03i5aqxw,4,3,Striker,Centre,NaN,32,1,4,3,11,NaN,1,23,33,11,90,10,6,2,24,15,16,1,NaN,2,2,NaN,NaN,NaN,4,4,3,1,NaN,NaN,1,1,1,1,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,2,SWE,Allsvenskan
V. Edvardsen,1m0qpbce7dob7mdbo7titbqp5,Djurgården,czkf5t3ai00ghwbga03i5aqxw,5,1,Striker,Centre/Right,NaN,15,1,NaN,4,7,2,NaN,8,21,8,75,3,NaN,4,18,7,11,NaN,NaN,NaN,1,NaN,5,NaN,2,4,2,NaN,1,NaN,NaN,NaN,1,1,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,16,SWE,Allsvenskan
J. Asoro,f3gxyvlnuwl9wglyroa6q2mll,Djurgården,czkf5t3ai00ghwbga03i5aqxw,1,NaN,Substitute,NaN,Attacker,3,1,1,NaN,1,NaN,1,2,3,1,15,1,NaN,NaN,3,2,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,3,SWE,Allsvenskan
J. Bergström,15mg49mqn215ce4ojukev0o2x,Djurgården,czkf5t3ai00ghwbga03i5aqxw,NaN,NaN,Substitute,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,NaN,SWE,Allsvenskan
L. Bergvall,7pk2vyumro8ku45aar5dw7dw4,Djurgården,czkf5t3ai00ghwbga03i5aqxw,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,433,NaN,Djurgården vs Brommapojkarna,3c4qf5lvp02k9cpqi2rmfe4no,2023-04-01,NaN,SWE,Allsvenskan
