player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
B. Száraz,18rnr89ksw4jhunbs92i73ch5,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,NaN,NaN,Goalkeeper,Centre,NaN,18,NaN,NaN,1,21,NaN,NaN,1,20,23,90,16,3,11,8,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,10,SVK,Super_Liga
F. Bahi,4n1s49nvjwknaqepz9nk6okyc,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,12,5,Defender,Left,NaN,23,2,4,2,14,6,NaN,10,32,20,90,14,5,9,16,3,5,1,1,1,3,1,3,1,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,20,SVK,Super_Liga
P. Volanakis,82l95d7jh9f8em7w6dn7smgpg,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,10,4,Defender,Left/Centre,NaN,38,2,5,2,30,4,NaN,12,51,37,90,23,7,6,18,4,8,NaN,2,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,17,SVK,Super_Liga
S. Marjanović,cdizx56cljv9qrgifqd26rdg,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,4,4,Defender,Centre/Right,NaN,45,NaN,11,NaN,42,2,NaN,7,56,50,90,23,2,4,11,NaN,2,NaN,9,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,12,SVK,Super_Liga
L. Šimko,2tim10de6mjduagwk6r8dcrca,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,4,1,Defender,Right,NaN,14,2,4,1,8,4,NaN,6,18,9,63,7,8,5,9,4,6,NaN,1,NaN,1,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,9,SVK,Super_Liga
R. Karasiuk,a0cp75k6abjhfx7gdludxmfp,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,3,2,Defensive Midfielder,Left/Centre,NaN,35,NaN,3,1,25,3,NaN,11,49,29,90,19,7,6,21,5,11,NaN,3,NaN,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,16,SVK,Super_Liga
M. Bednár,82lo0di4kinipycvz4zhl7ld5,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,4,2,Defensive Midfielder,Centre/Right,NaN,34,1,2,NaN,24,6,1,12,43,26,90,17,5,11,19,6,10,NaN,NaN,NaN,4,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,10,SVK,Super_Liga
I. Adekunle,9kk9g2kgy58sv75pfj9sto5wp,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,3,NaN,Attacking Midfielder,Left,NaN,5,1,4,1,3,2,NaN,2,8,3,45,4,2,2,5,2,4,1,1,1,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,6,SVK,Super_Liga
C. Steinhübel,874eo1newt3kwth4z6v4i3m51,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,1,NaN,Attacking Midfielder,Centre,NaN,4,NaN,NaN,3,2,NaN,NaN,2,8,3,45,5,4,2,7,2,4,NaN,NaN,NaN,2,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,7,SVK,Super_Liga
M. Marcin,463e49o3i91ihutgy2q4zsd79,Zemplín Michalovce,1qm038k9aqtouv4i738utxwdo,3,NaN,Attacking Midfielder,Right,NaN,3,NaN,5,2,1,NaN,NaN,2,9,1,45,7,1,1,9,1,5,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Zemplín Michalovce vs FC Košice,li24b56fap5otpxo9aovtjbo,2023-08-25,7,SVK,Super_Liga
