,BEL_Challenger_Pro_League_2023_2024_goals,BEL_Challenger_Pro_League_2023_2024_pct,BEL_Challenger_Pro_League_2024_2025_goals,BEL_Challenger_Pro_League_2024_2025_pct,BEL_First_Division_A_2023_2024_goals,BEL_First_Division_A_2023_2024_pct,BEL_First_Division_A_2024_2025_goals,BEL_First_Division_A_2024_2025_pct,CZE_Czech_Liga_2023_2024_goals,CZE_Czech_Liga_2023_2024_pct,CZE_Czech_Liga_2024_2025_goals,CZE_Czech_Liga_2024_2025_pct,DEU_3_Liga_2023_2024_goals,DEU_3_Liga_2023_2024_pct,DEU_3_Liga_2024_2025_goals,DEU_3_Liga_2024_2025_pct,DNK_1_Division_2023_2024_goals,DNK_1_Division_2023_2024_pct,DNK_1_Division_2024_2025_goals,DNK_1_Division_2024_2025_pct,DNK_DBU_Pokalen_2023_2024_goals,DNK_DBU_Pokalen_2023_2024_pct,DNK_Superliga_2023_2024_goals,DNK_Superliga_2023_2024_pct,DNK_Superliga_2024_2025_goals,DNK_Superliga_2024_2025_pct,FIN_Veikkausliiga_2023_goals,FIN_Veikkausliiga_2023_pct,FIN_Veikkausliiga_2024_goals,FIN_Veikkausliiga_2024_pct,FIN_Veikkausliiga_2025_goals,FIN_Veikkausliiga_2025_pct,FRA_Ligue_2_2023_2024_goals,FRA_Ligue_2_2023_2024_pct,FRA_Ligue_2_2024_2025_goals,FRA_Ligue_2_2024_2025_pct,HRV_HNL_2023_2024_goals,HRV_HNL_2023_2024_pct,HRV_HNL_2024_2025_goals,HRV_HNL_2024_2025_pct,ISL_Besta_deild_2023_goals,ISL_Besta_deild_2023_pct,ISL_Besta_deild_2024_goals,ISL_Besta_deild_2024_pct,ISL_Besta_deild_2025_goals,ISL_Besta_deild_2025_pct,ISL_Úrvalsdeild_2023_goals,ISL_Úrvalsdeild_2023_pct,ISL_Úrvalsdeild_2024_goals,ISL_Úrvalsdeild_2024_pct,ITA_Serie_B_2023_2024_goals,ITA_Serie_B_2023_2024_pct,ITA_Serie_B_2024_2025_goals,ITA_Serie_B_2024_2025_pct,NLD_Eerste_Divisie_2023_2024_goals,NLD_Eerste_Divisie_2023_2024_pct,NLD_Eerste_Divisie_2024_2025_goals,NLD_Eerste_Divisie_2024_2025_pct,NLD_Eredivisie_2023_2024_goals,NLD_Eredivisie_2023_2024_pct,NLD_Eredivisie_2024_2025_goals,NLD_Eredivisie_2024_2025_pct,NOR_Eliteserien_2023_goals,NOR_Eliteserien_2023_pct,NOR_Eliteserien_2024_goals,NOR_Eliteserien_2024_pct,NOR_Eliteserien_2025_goals,NOR_Eliteserien_2025_pct,POL_Ekstraklasa_2023_2024_goals,POL_Ekstraklasa_2023_2024_pct,POL_Ekstraklasa_2024_2025_goals,POL_Ekstraklasa_2024_2025_pct,ROU_Liga_I_2023_2024_goals,ROU_Liga_I_2023_2024_pct,ROU_Liga_I_2024_2025_goals,ROU_Liga_I_2024_2025_pct,SRB_Super_Liga_2023_2024_goals,SRB_Super_Liga_2023_2024_pct,SRB_Super_Liga_2024_2025_goals,SRB_Super_Liga_2024_2025_pct,SVK_1_liga_2024_2025_goals,SVK_1_liga_2024_2025_pct,SVK_Super_Liga_2023_2024_goals,SVK_Super_Liga_2023_2024_pct,SVK_Super_Liga_2024_2025_goals,SVK_Super_Liga_2024_2025_pct,SWE_Allsvenskan_2023_goals,SWE_Allsvenskan_2023_pct,SWE_Allsvenskan_2024_goals,SWE_Allsvenskan_2024_pct,SWE_Allsvenskan_2025_goals,SWE_Allsvenskan_2025_pct,USA_MLS_2023_goals,USA_MLS_2023_pct,USA_MLS_2024_goals,USA_MLS_2024_pct,USA_MLS_2025_goals,USA_MLS_2025_pct,USA_USL_Championship_2023_goals,USA_USL_Championship_2023_pct,USA_USL_Championship_2024_goals,USA_USL_Championship_2024_pct,USA_USL_Championship_2025_goals,USA_USL_Championship_2025_pct,Total_goals,Total_pct
attacking midfielder,28,31.8,28,30.1,53,26.0,54,31.0,69,27.1,93,31.1,46,35.4,46,24.7,22,33.8,45,35.2,2,11.1,42,32.1,21,32.8,20,35.1,20,21.7,6,27.3,30,41.7,25,41.0,10,47.6,6,27.3,21,30.0,12,30.8,4,36.4,21,30.0,12,30.8,40,37.4,86,30.7,25,30.5,12,21.8,8,26.7,4,30.8,29,24.4,12,21.1,2,28.6,46,21.5,38,17.4,18,39.1,11,33.3,42,35.6,35,31.5,49,38.9,49,31.2,27,38.6,26,27.4,33,25.8,13,24.1,41,28.7,100,30.5,30,38.0,72,29.9,87,27.4,26,37.7,1697,29.7
defender,8,9.1,11,11.8,15,7.4,14,8.0,37,14.5,40,13.4,17,13.1,14,7.5,3,4.6,15,11.7,2,11.1,12,9.2,3,4.7,6,10.5,9,9.8,3,13.6,6,8.3,4,6.6,1,4.8,0,0.0,2,2.9,1,2.6,1,9.1,2,2.9,1,2.6,9,8.4,28,10.0,12,14.6,7,12.7,1,3.3,1,7.7,13,10.9,6,10.5,1,14.3,21,9.8,39,17.8,6,13.0,5,15.2,7,5.9,8,7.2,10,7.9,13,8.3,6,8.6,5,5.3,14,10.9,11,20.4,11,7.7,25,7.6,4,5.1,23,9.5,28,8.8,6,8.7,547,9.6
goalkeeper,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
midfielder,11,12.5,7,7.5,24,11.8,13,7.5,22,8.6,24,8.0,16,12.3,18,9.7,9,13.8,8,6.2,4,22.2,12,9.2,7,10.9,6,10.5,7,7.6,0,0.0,5,6.9,5,8.2,0,0.0,6,27.3,12,17.1,6,15.4,1,9.1,12,17.1,6,15.4,4,3.7,29,10.4,5,6.1,3,5.5,1,3.3,2,15.4,14,11.8,10,17.5,1,14.3,23,10.7,30,13.7,5,10.9,4,12.1,18,15.3,18,16.2,9,7.1,16,10.2,4,5.7,14,14.7,9,7.0,6,11.1,13,9.1,24,7.3,6,7.6,28,11.6,35,11.0,3,4.3,575,10.1
striker,19,21.6,26,28.0,53,26.0,37,21.3,45,17.6,57,19.1,15,11.5,46,24.7,10,15.4,24,18.8,5,27.8,38,29.0,18,28.1,13,22.8,24,26.1,6,27.3,20,27.8,13,21.3,1,4.8,3,13.6,20,28.6,14,35.9,2,18.2,20,28.6,14,35.9,20,18.7,59,21.1,28,34.1,22,40.0,12,40.0,4,30.8,35,29.4,18,31.6,2,28.6,58,27.1,54,24.7,8,17.4,6,18.2,14,11.9,27,24.3,24,19.0,24,15.3,11,15.7,23,24.2,26,20.3,8,14.8,28,19.6,90,27.4,18,22.8,62,25.7,79,24.8,12,17.4,1315,23.0
substitute,11,12.5,6,6.5,35,17.2,32,18.4,46,18.0,56,18.7,23,17.7,40,21.5,16,24.6,19,14.8,3,16.7,20,15.3,13,20.3,6,10.5,19,20.7,5,22.7,7,9.7,11,18.0,7,33.3,6,27.3,9,12.9,2,5.1,3,27.3,9,12.9,2,5.1,21,19.6,46,16.4,9,11.0,4,7.3,6,20.0,1,7.7,14,11.8,6,10.5,1,14.3,38,17.8,39,17.8,8,17.4,6,18.2,27,22.9,18,16.2,22,17.5,33,21.0,16,22.9,16,16.8,27,21.1,7,13.0,30,21.0,55,16.8,10,12.7,37,15.4,55,17.3,15,21.7,973,17.0
wing back,11,12.5,15,16.1,23,11.3,24,13.8,36,14.1,29,9.7,13,10.0,22,11.8,5,7.7,17,13.3,2,11.1,7,5.3,2,3.1,6,10.5,13,14.1,2,9.1,4,5.6,3,4.9,2,9.5,1,4.5,6,8.6,4,10.3,0,0.0,6,8.6,4,10.3,13,12.1,32,11.4,3,3.7,7,12.7,2,6.7,1,7.7,14,11.8,5,8.8,0,0.0,28,13.1,19,8.7,1,2.2,1,3.0,10,8.5,5,4.5,12,9.5,22,14.0,6,8.6,11,11.6,19,14.8,9,16.7,20,14.0,34,10.4,11,13.9,19,7.9,34,10.7,7,10.1,602,10.5
