player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,totalLongBalls,goals,label,match_id,date,possLostAll,country,league_name,season
L. Unnerstall,bzanwdo4ihqd6d7vr06bd3845,Twente,4tic29sox7m39fy1ztgv0jsiq,NaN,NaN,Goalkeeper,Centre,NaN,11,NaN,NaN,NaN,10,1,NaN,3,13,11,90,11,2,7,8,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,10,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,6,NLD,Eredivisie,2025_2026
M. Rots,5r47vtvu418kae5j2rpv6w2dw,Twente,4tic29sox7m39fy1ztgv0jsiq,3,NaN,Defender,Left,NaN,35,1,1,7,12,6,NaN,23,45,16,73,19,5,10,31,12,15,2,NaN,2,4,NaN,2,NaN,NaN,3,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,4231,6,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,19,NLD,Eredivisie,2025_2026
R. Pröpper,lduqoe45t2fnbn9s9rbvlnf9,Twente,4tic29sox7m39fy1ztgv0jsiq,6,4,Defender,Left/Centre,NaN,42,NaN,5,NaN,19,4,NaN,25,57,22,90,34,14,8,37,11,16,NaN,2,NaN,4,1,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,15,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,15,NLD,Eredivisie,2025_2026
M. Bruns,bner5siqnwn1fqusfrgujt0fe,Twente,4tic29sox7m39fy1ztgv0jsiq,3,3,Defender,Centre/Right,NaN,45,NaN,5,NaN,30,NaN,NaN,17,53,34,90,19,10,4,21,8,10,NaN,4,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,6,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,8,NLD,Eredivisie,2025_2026
B. van Rooij,qobf1v5kwuz6hj2ooixfw4mi,Twente,4tic29sox7m39fy1ztgv0jsiq,3,1,Defender,Right,NaN,39,1,5,3,20,2,1,20,44,22,90,14,1,4,26,10,11,NaN,1,1,1,NaN,2,NaN,2,4,2,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,4231,5,1,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,12,NLD,Eredivisie,2025_2026
D. Weidmann,bvwaamcj0bpdrcuoffl6b9rf8,Twente,4tic29sox7m39fy1ztgv0jsiq,2,NaN,Defensive Midfielder,Left/Centre,NaN,18,2,1,1,3,1,1,15,23,5,45,4,1,1,18,6,8,1,NaN,1,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,4231,3,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,10,NLD,Eredivisie,2025_2026
R. Zerrouki,dc119ejc7lls2rd3ywigl2smi,Twente,4tic29sox7m39fy1ztgv0jsiq,4,2,Defensive Midfielder,Centre/Right,NaN,44,NaN,4,2,13,1,NaN,34,54,17,90,19,9,7,42,20,24,1,2,1,6,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,4231,11,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,14,NLD,Eredivisie,2025_2026
S. Ørjasæter,6wwk8y9mklkh8x606ynhe1lp0,Twente,4tic29sox7m39fy1ztgv0jsiq,7,2,Attacking Midfielder,Left,NaN,29,4,1,5,7,NaN,1,23,38,9,72,7,1,2,35,16,20,1,NaN,1,1,NaN,3,NaN,2,8,2,NaN,1,1,1,NaN,2,1,1,1,4231,1,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,22,NLD,Eredivisie,2025_2026
K. Hlynsson,9nix5y8xcj34ps62r34udtqwa,Twente,4tic29sox7m39fy1ztgv0jsiq,7,2,Attacking Midfielder,Centre,NaN,29,3,6,1,14,2,NaN,17,36,17,83,10,3,3,21,12,14,2,2,2,1,1,NaN,1,3,6,3,NaN,NaN,NaN,NaN,NaN,3,3,NaN,NaN,4231,NaN,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,14,NLD,Eredivisie,2025_2026
D. Rots,5m8pflpgynidzk7d9507oujje,Twente,4tic29sox7m39fy1ztgv0jsiq,6,1,Attacking Midfielder,Right,NaN,27,1,12,4,7,1,1,20,38,10,90,17,2,4,28,13,19,4,2,5,3,1,NaN,1,NaN,4,1,NaN,NaN,NaN,1,NaN,1,1,NaN,NaN,4231,3,NaN,Twente vs Fortuna Sittard,5tj9c052m3qrojh2c6o5c8glw,2025-09-26,19,NLD,Eredivisie,2025_2026
