playerName,playerId,contestantId,team_name,label,match_id,date,9,321,322
A. Bernier,8ic5et3o15rkxyebpxy6y4mhh,920raeoumft3q2wmvc296uceo,Sporting Charleroi,Westerlo vs Sporting Charleroi,541wjphthnk4ajvif2h3we9zo,2024-03-01,0,0.1475178897380828,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,AS Eupen vs Sint-Truiden,565k53gye7uzlwthp1n6wxvkk,2024-03-10,0,0.0,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Anderlecht vs Sint-Truiden,4xx2hjzdsmuhvq90x2pl9uc5w,2024-02-18,NaN,0.1494568884372711,0.7615
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Gent vs Sint-Truiden,9jwvlak6vddv7jxblhh3fjtas,2024-05-25,0,0.0,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Mechelen vs Sint-Truiden,99k4sbsig3wbxvigtcoxrih3o,2024-04-05,0,0.0,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Sint-Truiden vs Mechelen,9hi1f0d6a21cyz96g82mfl8no,2024-05-12,0,0.0,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Sint-Truiden vs Standard Liège,9aqhd6r60ka3uz5dx23es0pp0,2024-04-12,NaN,0.3672448396682739,0.8833
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Sint-Truiden vs Westerlo,9960z5rnp12g36x2snhhq9fro,2024-03-31,0,0.0,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Standard Liège vs Sint-Truiden,9epfhk4aj671x7os4db4nw1ec,2024-04-27,0,0.0,0.0
A. Bertaccini,bxm1hhoqn14l6kopk32nnyktl,2989v3kho9h5jaboe1nr7lx21,Sint-Truiden,Westerlo vs Sint-Truiden,9fi4za9jewdom70jdj0v5mi38,2024-05-03,0,0.0,0.0
A. Bodart,bxcwnf87pf8ijzbxy70ewcfe1,5z1b7fuvpqe6vnigvopomvecu,Standard Liège,Standard Liège vs Cercle Brugge,3o0p2qgqpru9zbxbw6zz5hl3o,2023-08-19,0,0.0133387586101889,0.0
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,AS Eupen vs Gent,4zt1zm82m7drwyazi3grabuok,2024-02-18,0,0.0617352612316608,0.2718
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs AS Eupen,3wucksypyp4wi6tqcc5nyfxn8,2023-09-24,NaN,0.088359996676445,0.0
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Genk,40rjbbz551qcnhudm6yiz2978,2023-10-08,0,0.0372227318584919,0.0
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Mechelen,4o5p4zlhrm432dz1j92oczsb8,2024-01-19,0,0.0177202485501766,0.0
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs Mechelen,9cq9x26wvd0jtvoodsoruh0d0,2024-04-20,0,0.0,0.0
A. Brown,8kz0e83d3azssd7unbk2lqt0q,8y3iucyxguipljcmf87a11bk9,Gent,Gent vs OH Leuven,9h3ot7q260j2zti5eotdzdij8,2024-05-12,0,0.0139107890427112,0.0
