player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
J. Hansen,1h31bvtbae4q0edlp0u672hn9,AGF,5rz9enoyknpg8ji78za5b82p0,NaN,NaN,Goalkeeper,Centre,NaN,26,NaN,NaN,NaN,31,3,NaN,2,30,31,90,18,5,7,9,1,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,7,DNK,Superliga
E. Kahl,cgkvw4q8ddcjl0po181upzwx6,AGF,5rz9enoyknpg8ji78za5b82p0,6,4,Defender,Left/Centre,NaN,35,NaN,8,6,25,2,NaN,17,46,30,90,22,11,4,27,7,13,2,2,3,2,1,4,1,NaN,NaN,NaN,NaN,NaN,1,2,,NaN,NaN,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,18,DNK,Superliga
F. Tingager,6my7s0ezr6jldotm1w6nk7b9x,AGF,5rz9enoyknpg8ji78za5b82p0,6,5,Defender,Centre,NaN,62,NaN,7,4,45,3,NaN,19,79,50,90,35,14,5,32,4,14,NaN,6,NaN,2,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,18,DNK,Superliga
J. Jensen-Abbew,3l3v5wj4c7vtqqwu05b526590,AGF,5rz9enoyknpg8ji78za5b82p0,4,3,Defender,Centre/Right,NaN,26,NaN,2,NaN,19,2,NaN,8,34,21,67,14,6,5,14,2,7,NaN,NaN,NaN,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,8,DNK,Superliga
M. Anderson,61sojkdsmaz9hbwaskt4rws15,AGF,5rz9enoyknpg8ji78za5b82p0,6,2,Midfielder,Left,NaN,14,NaN,3,5,3,2,NaN,11,20,3,90,9,5,2,21,7,13,NaN,2,NaN,NaN,NaN,4,NaN,1,3,1,NaN,NaN,NaN,NaN,,2,2,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,14,DNK,Superliga
M. Madsen,43q9ytkbmtk5y3tgv77v7pmg9,AGF,5rz9enoyknpg8ji78za5b82p0,4,3,Midfielder,Left/Centre,NaN,25,NaN,6,NaN,14,1,NaN,14,33,16,90,11,4,5,20,5,11,NaN,2,NaN,4,1,NaN,1,2,3,2,NaN,NaN,NaN,NaN,,5,5,NaN,NaN,352,1,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,12,DNK,Superliga
N. Poulsen,8og8nxbkcb63van4llvpkbe8l,AGF,5rz9enoyknpg8ji78za5b82p0,3,1,Midfielder,Centre,NaN,38,2,4,1,20,2,1,20,47,26,82,16,7,9,24,15,16,2,1,2,6,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,,NaN,NaN,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,12,DNK,Superliga
K. Arnstad,7je01bs3a4q6c2gd02ee6da3u,AGF,5rz9enoyknpg8ji78za5b82p0,2,1,Midfielder,Centre/Right,NaN,32,NaN,5,2,15,2,NaN,17,41,18,90,15,10,7,26,13,19,NaN,NaN,NaN,5,1,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,,1,1,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,14,DNK,Superliga
F. Beijmo,aswmi1pnkzkvkexp8ngief6j9,AGF,5rz9enoyknpg8ji78za5b82p0,2,1,Midfielder,Right,NaN,28,NaN,2,6,15,NaN,NaN,16,33,18,90,16,9,1,25,10,12,1,NaN,1,1,NaN,8,NaN,1,1,NaN,NaN,NaN,2,NaN,,NaN,NaN,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,12,DNK,Superliga
P. Mortensen,3sadup8mjwu4dc96wz6lmixn9,AGF,5rz9enoyknpg8ji78za5b82p0,6,3,Striker,Left/Centre,NaN,8,1,5,NaN,3,NaN,NaN,5,10,4,90,1,NaN,3,6,4,5,NaN,3,NaN,3,NaN,NaN,NaN,3,4,4,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,352,NaN,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,5,DNK,Superliga
T. Bech,3uytpqx0e0jr6zgbfl1znsm7e,AGF,5rz9enoyknpg8ji78za5b82p0,5,1,Striker,Centre/Right,NaN,14,2,3,5,3,NaN,NaN,12,18,4,89,6,1,1,19,9,12,2,1,2,NaN,NaN,5,NaN,1,3,1,NaN,1,1,1,,3,3,NaN,NaN,352,1,AGF vs Randers,cmrqkdpn0ceti1ke0ggkb8hlg,2024-09-28,13,DNK,Superliga
