player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date
M. Nilsson,dmo3tzuzcfsxecqa0cgo4guz9,3cbke8cbou2ms925872vk6dwx,NaN,NaN,Goalkeeper,Centre,NaN,13,NaN,1,2,16,NaN,NaN,3,21,18,90,19,10,12,17,2,10,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,4321,NaN,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
T. Penninkangas,8p4a41s3wdilkbr69bbxkqbit,3cbke8cbou2ms925872vk6dwx,4,2,Defender,Left,NaN,3,NaN,8,1,4,1,NaN,NaN,10,7,90,5,5,2,4,NaN,4,NaN,NaN,NaN,1,1,NaN,1,NaN,1,NaN,,NaN,NaN,NaN,,NaN,NaN,,,4321,NaN,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
J. Raitala,anqhl7ehns6thx9ldto2jp5ud,3cbke8cbou2ms925872vk6dwx,2,1,Defender,Left/Centre,NaN,17,NaN,3,NaN,15,2,NaN,4,21,17,90,10,4,3,7,1,4,NaN,1,NaN,1,NaN,NaN,NaN,NaN,2,1,,NaN,NaN,NaN,,NaN,NaN,,,4321,NaN,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
J. Ojala,bpjmwp030jnapyjfii8nyqdhx,3cbke8cbou2ms925872vk6dwx,2,2,Defender,Centre/Right,NaN,20,NaN,6,NaN,18,NaN,NaN,2,29,20,90,14,6,1,10,1,7,NaN,2,NaN,1,NaN,NaN,NaN,NaN,1,1,,NaN,NaN,NaN,,NaN,NaN,,,4321,NaN,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
S. Heiskanen,nxt066bqaqw7grehjw514d7t,3cbke8cbou2ms925872vk6dwx,4,1,Defender,Right,NaN,8,1,4,2,4,2,1,4,12,7,90,8,2,2,6,3,4,NaN,NaN,NaN,NaN,3,NaN,3,1,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,4321,NaN,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
Tomás Castro,e0i7j9hlp3zcggxinxuyfy1d6,3cbke8cbou2ms925872vk6dwx,6,1,Midfielder,Left/Centre,NaN,9,1,3,2,6,1,NaN,5,15,7,62,8,NaN,3,10,2,7,NaN,NaN,NaN,2,NaN,NaN,NaN,1,2,1,,NaN,NaN,NaN,,NaN,NaN,,,4321,NaN,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
H. Woivalin,9l78gdpk7fx57b8am6to05gfe,3cbke8cbou2ms925872vk6dwx,2,NaN,Midfielder,Centre,NaN,9,1,3,NaN,8,1,NaN,1,14,11,90,3,3,3,3,1,3,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,,NaN,NaN,,,4321,NaN,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
M. Sarr,9618hk1lq7i6see347k7plkyy,3cbke8cbou2ms925872vk6dwx,12,1,Midfielder,Centre/Right,NaN,7,4,6,1,3,2,1,4,15,4,81,4,3,4,12,4,10,1,1,1,1,2,1,2,NaN,5,NaN,,1,NaN,NaN,,NaN,NaN,,,4321,NaN,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
J. Latonen,b0wmozayt7xbjz6ihhdiczq0a,3cbke8cbou2ms925872vk6dwx,3,1,Attacking Midfielder,Left/Centre,NaN,7,2,5,1,2,1,2,5,12,2,63,6,4,3,10,4,7,1,NaN,1,2,NaN,NaN,NaN,NaN,3,1,,NaN,NaN,NaN,,1,1,,,4321,1,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
V. Hänninen,4a8qjfagq2xr6wqsv875jth0q,3cbke8cbou2ms925872vk6dwx,6,2,Attacking Midfielder,Centre/Right,NaN,21,NaN,6,7,12,2,NaN,13,28,15,90,13,3,6,19,7,9,NaN,1,2,2,1,5,1,1,1,1,,2,3,NaN,,2,1,,,4321,1,Gnistan vs Inter Turku,3a8xj5ttgvhsbg5o6r2iyuvpw,2024-04-06
