player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
M. Bundgaard,dcocgxtuabo0rwzwukvqky9uy,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,NaN,NaN,Goalkeeper,Centre,NaN,15,NaN,NaN,NaN,17,1,NaN,2,18,19,90,14,2,4,5,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,5,DNK,Superliga,2025_2026
D. Grétarsson,czpstoiy12awqpasz573ckp91,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,2,1,Defender,Left/Centre,NaN,35,NaN,3,3,24,3,NaN,13,42,27,78,18,11,5,18,10,13,NaN,1,NaN,1,1,1,1,1,1,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,12,DNK,Superliga,2025_2026
M. Jensen,6ul2nma4j0a7e2li6wyyrpal1,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,7,5,Defender,Centre,NaN,47,NaN,5,1,39,3,NaN,9,53,42,90,15,3,4,12,3,6,NaN,4,NaN,1,1,NaN,1,NaN,2,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,343,1,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,7,DNK,Superliga,2025_2026
M. Soulas,6rd849oap6uh93wdwjk8590q1,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,4,2,Defender,Centre/Right,NaN,37,NaN,4,1,28,4,NaN,14,47,32,90,23,10,6,20,10,14,NaN,2,NaN,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,10,DNK,Superliga,2025_2026
R. Sigurgeirsson,agn71kap290gs92nelbv2rey2,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,NaN,NaN,Midfielder,Left,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,1,1,9,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,3,DNK,Superliga,2025_2026
T. Sommer,5jdkdvxssuc8gvzwwrq5bs76y,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,4,2,Midfielder,Left/Centre,NaN,38,NaN,4,1,13,1,NaN,26,45,15,90,18,12,3,31,13,18,NaN,1,NaN,1,1,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,9,DNK,Superliga,2025_2026
A. Oggesen,3361cs2j60yxzy9mir80byqc5,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,3,1,Midfielder,Centre/Right,NaN,24,1,1,2,13,3,NaN,12,32,16,90,12,7,6,18,9,12,NaN,NaN,NaN,3,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,11,DNK,Superliga,2025_2026
S. Wæver,dglnk6pm8tm5cvb9dgqlz6kus,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,1,1,Midfielder,Right,NaN,12,NaN,4,1,8,4,NaN,4,22,11,66,10,3,6,11,2,6,NaN,1,NaN,2,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,12,DNK,Superliga,2025_2026
O. Hyseni,94560hgwsjkx8qgz48f7gzitw,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,12,2,Striker,Left/Centre,NaN,15,8,8,3,3,NaN,3,12,20,3,90,4,3,5,17,6,11,2,1,2,4,NaN,NaN,NaN,NaN,5,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,15,DNK,Superliga,2025_2026
K. Ingason,a8opuarwq9byw73nhfgvo9nca,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,1,NaN,Striker,Centre,NaN,6,NaN,1,2,4,NaN,NaN,5,7,5,66,2,NaN,1,7,4,4,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,1,1,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,7,DNK,Superliga,2025_2026
L. Qamili,3ejggtt1du1cui3wc1f8oqx62,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,3,NaN,Striker,Centre/Right,NaN,7,3,2,NaN,1,NaN,1,6,13,3,45,6,3,NaN,10,3,6,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,11,DNK,Superliga,2025_2026
M. Agger,adg5dfvzxjrzlz1n2jsfeyx3o,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,6,1,Substitute,NaN,Attacker,3,1,NaN,3,NaN,NaN,NaN,3,5,NaN,45,NaN,NaN,1,8,2,3,1,NaN,1,1,NaN,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,11,DNK,Superliga,2025_2026
M. Cherif,637840asun7f3wo16c5zkhi50,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,NaN,NaN,Substitute,NaN,Midfielder,3,NaN,2,NaN,1,1,NaN,2,3,1,12,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,NaN,DNK,Superliga,2025_2026
E. Duru,7sbdudf1vycn8hinw0giakpyi,SønderjyskE,aljua8crr0vkwit0j3m59jw9j,2,NaN,Substitute,NaN,Defender,18,1,5,NaN,6,2,NaN,12,22,8,81,11,3,3,15,5,6,NaN,2,NaN,NaN,2,1,2,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,NaN,SønderjyskE vs København,2fg0c7hms7770iaix0dmyrdas,2025-09-27,8,DNK,Superliga,2025_2026
