player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date
M. Funk,ev73ja3lqg6g947fbb0ux79hx,auoply899efk4rs1a0ew6v9jq,NaN,NaN,Goalkeeper,Centre,NaN,29,NaN,NaN,NaN,28,2,NaN,5,34,31,90,21,2,6,7,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
M. Seiffert,8bc4njryum7u61or7ecuahzze,auoply899efk4rs1a0ew6v9jq,1,NaN,Defender,Left,NaN,41,NaN,2,3,22,2,NaN,21,45,23,90,22,6,4,25,10,11,2,1,3,2,1,2,1,NaN,2,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
R. Malone,9sy6bx1dolh2qkytmje7z6f3d,auoply899efk4rs1a0ew6v9jq,2,NaN,Defender,Left/Centre,NaN,49,1,3,2,45,3,1,13,56,50,90,23,4,8,17,3,4,NaN,NaN,NaN,5,NaN,NaN,NaN,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4132,1,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
S. Lorenz,c3v3fid9i11wvghayplmpn74l,auoply899efk4rs1a0ew6v9jq,3,NaN,Defender,Centre/Right,NaN,47,NaN,1,NaN,42,4,NaN,7,50,45,90,23,2,5,7,2,2,NaN,1,NaN,1,3,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
M. Costly,1jp5ure85qhx8kkzgivt86t3p,auoply899efk4rs1a0ew6v9jq,5,NaN,Defender,Right,NaN,47,5,6,11,22,7,3,28,61,27,89,31,11,13,39,16,21,1,NaN,2,6,2,4,2,2,2,1,NaN,NaN,2,2,NaN,NaN,NaN,NaN,NaN,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
F. Keidel,7dcl84ahs5b2kjzaipai5ikno,auoply899efk4rs1a0ew6v9jq,2,2,Defensive Midfielder,Centre,NaN,34,1,6,7,23,2,1,11,43,27,90,9,5,6,20,6,9,1,3,1,4,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
B. Kanurić,dc2r7r9coers481ooq2lx8296,auoply899efk4rs1a0ew6v9jq,4,1,Midfielder,Left/Centre,NaN,26,3,10,6,13,NaN,1,17,33,14,83,9,8,3,24,10,14,NaN,NaN,NaN,3,NaN,3,NaN,2,3,1,NaN,NaN,2,NaN,NaN,1,1,1,1,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
B. Kayo,6s1as3jlv3ho6veougdpwx6cq,auoply899efk4rs1a0ew6v9jq,5,2,Midfielder,Centre,NaN,19,3,6,1,5,NaN,2,14,23,6,83,4,7,4,17,11,13,1,NaN,1,4,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
D. Kopacz,drrl6k05cmazqudm9hyjbsesp,auoply899efk4rs1a0ew6v9jq,2,NaN,Midfielder,Centre/Right,NaN,37,1,3,6,12,3,1,25,45,14,90,11,4,7,35,14,20,4,1,4,3,1,4,1,2,7,1,1,1,NaN,2,1,1,1,NaN,NaN,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
S. Grønning,dn8qd3thtswisleeesyk0oxrd,auoply899efk4rs1a0ew6v9jq,5,NaN,Striker,Left/Centre,NaN,6,NaN,1,1,2,1,NaN,5,14,3,75,3,2,2,12,2,7,NaN,NaN,NaN,1,NaN,NaN,NaN,3,3,3,NaN,NaN,NaN,NaN,NaN,2,1,NaN,NaN,4132,NaN,Ingolstadt vs MSV Duisburg,5tkxt0sxoo2uppjsmah4rklqs,2024-04-20
