player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
F. Mehder,3938g251uzvj197yknpr0044p,Fredericia,6wwwud48qahpwrfxs20334qk5,1,NaN,Goalkeeper,Centre,NaN,12,NaN,NaN,NaN,13,1,NaN,1,15,13,90,9,4,4,4,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,4,DNK,1_Division,2023_2024
F. Christensen,4smb0sorl9dms1k26si6tbqzu,Fredericia,6wwwud48qahpwrfxs20334qk5,6,2,Defender,Left,NaN,43,3,5,3,15,4,1,29,57,21,90,18,6,5,39,15,21,2,3,2,1,2,3,2,1,4,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,21,DNK,1_Division,2023_2024
J. Juelsgård,ei3xmwfz8dah5e4lcbu4w98t1,Fredericia,6wwwud48qahpwrfxs20334qk5,6,3,Defender,Left/Centre,NaN,69,2,5,3,37,3,2,38,83,44,90,30,15,6,46,11,17,NaN,1,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,17,DNK,1_Division,2023_2024
M. Fischer,5ezedgrsrflkr1gi8o6eu7j3e,Fredericia,6wwwud48qahpwrfxs20334qk5,5,4,Defender,Centre/Right,NaN,89,NaN,3,1,47,1,NaN,49,99,52,90,40,20,2,54,19,22,1,1,1,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,10,DNK,1_Division,2023_2024
M. Juhl,duvhbifjh37mvlm46akiy431m,Fredericia,6wwwud48qahpwrfxs20334qk5,4,1,Defender,Right,NaN,59,2,8,6,20,6,2,40,73,24,90,20,6,9,56,20,29,1,1,1,2,1,6,1,NaN,4,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,24,DNK,1_Division,2023_2024
N. Røjkjær,drzdo6ouxi5n4jafhfajpor85,Fredericia,6wwwud48qahpwrfxs20334qk5,6,2,Defensive Midfielder,Left/Centre,NaN,66,1,2,7,26,3,NaN,43,73,30,83,18,15,12,49,27,30,2,NaN,2,8,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,13,DNK,1_Division,2023_2024
L. Hetemi,7uia9zlz3axnuc6usdn9u4kfe,Fredericia,6wwwud48qahpwrfxs20334qk5,9,1,Defensive Midfielder,Centre/Right,NaN,69,3,9,1,29,8,2,41,76,30,90,19,12,11,47,16,20,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,11,DNK,1_Division,2023_2024
E. Simonsen,45ssaw51hm80y1tfalyesap9m,Fredericia,6wwwud48qahpwrfxs20334qk5,3,NaN,Attacking Midfielder,Left,NaN,20,2,NaN,3,7,NaN,NaN,14,26,7,62,10,4,2,21,8,13,1,NaN,2,NaN,NaN,1,NaN,2,3,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,10,DNK,1_Division,2023_2024
A. Jakobsen,hm7w2b4a6j0q3bprq118r5uy,Fredericia,6wwwud48qahpwrfxs20334qk5,3,1,Attacking Midfielder,Centre,NaN,28,4,4,2,9,1,2,20,35,10,90,11,2,5,27,10,13,1,1,1,3,1,1,1,3,3,1,2,1,NaN,1,1,2,2,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,12,DNK,1_Division,2023_2024
S. Berger,8ngloyr6r0m71p8kgpfe69bvu,Fredericia,6wwwud48qahpwrfxs20334qk5,3,NaN,Attacking Midfielder,Right,NaN,18,1,1,3,8,NaN,NaN,10,22,8,62,4,1,3,16,5,9,NaN,NaN,NaN,3,NaN,NaN,NaN,4,5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,13,DNK,1_Division,2023_2024
T. Bach,5lssweodhkyifhj333v6f6r6c,Fredericia,6wwwud48qahpwrfxs20334qk5,8,3,Striker,Centre,NaN,9,4,8,2,1,NaN,2,8,13,1,90,2,NaN,NaN,12,7,10,2,1,2,NaN,NaN,NaN,NaN,3,13,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,12,DNK,1_Division,2023_2024
S. Bækgård,5o1k2hd9rdooxpjgbnabuh94a,Fredericia,6wwwud48qahpwrfxs20334qk5,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,NaN,DNK,1_Division,2023_2024
J. Højbjerg,87hplgpnryqnzxtsls19p3ahh,Fredericia,6wwwud48qahpwrfxs20334qk5,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,,Fredericia vs Vendsyssel,a0wgbm7y49j0fj6u4ktpucr2s,2023-12-01,NaN,DNK,1_Division,2023_2024
