player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll
J. Kreidl,b6uchs6rc43tlb0qj2tw3xzh1,1c7dv8ays675v9kp6a04sd8pq,NaN,NaN,Goalkeeper,Centre,NaN,21,NaN,NaN,NaN,18,3,NaN,5,25,18,90,17,4,12,12,3,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,8
J. Bakker,aq8emkcjejbav0fys17iqv2ll,1c7dv8ays675v9kp6a04sd8pq,3,3,Defender,Left/Centre,NaN,70,NaN,5,4,37,9,NaN,35,82,41,90,42,16,12,47,13,20,1,3,1,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,16
H. Toivomäki,9u9kdi0y3tqcj3h8i6h8kyled,1c7dv8ays675v9kp6a04sd8pq,NaN,NaN,Defender,Centre,NaN,73,NaN,1,NaN,45,6,NaN,31,78,48,90,22,5,11,33,3,5,1,NaN,1,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,6
I. Cissé,289f8ysumkm0ilmx2z472cei2,1c7dv8ays675v9kp6a04sd8pq,5,2,Defender,Centre/Right,NaN,53,NaN,5,3,27,4,NaN,28,62,32,90,28,9,6,32,8,11,NaN,3,NaN,2,3,NaN,3,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,13
C. Antwi,5irotktf4k5ynobf0zugdom0a,1c7dv8ays675v9kp6a04sd8pq,4,1,Midfielder,Left,NaN,17,NaN,2,5,10,3,NaN,8,23,14,67,5,NaN,4,12,2,3,1,NaN,1,NaN,1,3,1,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,8
J. Oksanen,aa40go6nrv6mpdny6zdc1jeg9,1c7dv8ays675v9kp6a04sd8pq,3,1,Midfielder,Left/Centre,NaN,40,NaN,7,2,16,NaN,NaN,25,48,19,78,13,5,4,31,8,11,2,3,2,4,NaN,2,NaN,NaN,2,NaN,NaN,NaN,1,NaN,NaN,1,1,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,11
A. Popovitch,74od0bd25ox7cv2sfmebf72s5,1c7dv8ays675v9kp6a04sd8pq,5,NaN,Midfielder,Centre/Right,NaN,41,2,5,9,14,NaN,1,32,49,15,90,13,8,6,45,13,20,1,1,1,5,2,3,2,4,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,,,343,1,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,15
A. Vidjeskog,89q9x7p2gfaqti89xc1obr5rd,1c7dv8ays675v9kp6a04sd8pq,6,1,Midfielder,Right,NaN,46,NaN,3,4,16,2,NaN,31,53,18,90,14,4,5,41,11,15,1,1,1,3,2,6,2,1,5,1,NaN,NaN,1,NaN,NaN,NaN,NaN,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,17
J. Veteli,a30y638aa4uo6vudqgrcjvpat,1c7dv8ays675v9kp6a04sd8pq,6,3,Striker,Left/Centre,NaN,46,2,8,1,16,2,2,31,55,16,90,6,6,3,41,17,24,NaN,NaN,NaN,1,NaN,1,NaN,2,6,NaN,NaN,NaN,NaN,NaN,NaN,1,1,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,14
J. Tuominen,50pntfz4g78co2q68kno332z9,1c7dv8ays675v9kp6a04sd8pq,11,4,Striker,Centre,NaN,16,3,4,2,6,3,2,13,22,8,90,6,2,5,17,8,11,2,1,2,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,2,2,,,343,NaN,KuPS vs Inter Turku,lsgioefzrvpyqn4878us0z6c,2023-04-05,9
