playerName,playerId,contestantId,team_name,321,label,match_id,date
R. Mahuta,9euzn9qp3ondehnyqojcvog0k,5qxgilg61hlwxzfpdn2nhcayd,Haka,0.2031877189874649,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
S. Zarokóstas,zr8567yklpn8dfokwzktsk8a,5qxgilg61hlwxzfpdn2nhcayd,Haka,0.03295370936393738,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
J. Dunwoody,azqoxcekiz4xo5p95tawvm7zd,ea3yd0dgq6uy6pupkpn17j5xg,SJK,0.06413865089416504,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
A. Herbert,c5xcmwzyq3g1tvtyj8i5ud65m,5qxgilg61hlwxzfpdn2nhcayd,Haka,0.033266741782426834,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
J. Streng,dytql3b2co1cst72z5qf879pl,ea3yd0dgq6uy6pupkpn17j5xg,SJK,0.16429434716701508,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
V. Tikkanen,18p445rm69t2xc13vggv5oueh,ea3yd0dgq6uy6pupkpn17j5xg,SJK,0.020782945677638054,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
K. Ofori,9hzqhklvj6ohxh2x8r5lg09w4,ea3yd0dgq6uy6pupkpn17j5xg,SJK,0.012575027532875538,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
J. Laine,3w17p9bq9tagjph173q9jaicq,5qxgilg61hlwxzfpdn2nhcayd,Haka,0.04141717404127121,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
M. Boukassi,9b55fbg95r1ot2bs1fpz41uui,5qxgilg61hlwxzfpdn2nhcayd,Haka,0.08115989714860916,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
K. Ofori,9hzqhklvj6ohxh2x8r5lg09w4,ea3yd0dgq6uy6pupkpn17j5xg,SJK,0.015345017425715923,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
K. Ofori,9hzqhklvj6ohxh2x8r5lg09w4,ea3yd0dgq6uy6pupkpn17j5xg,SJK,0.04178242012858391,SJK vs Haka,lwgm2thep0b1i7367gzols7o,2023-04-05
A. Mäenpää,bt9canh10jbb5pms11dzi1j2t,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.03258270397782326,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
A. Larsson,7d326gljgym4qtmxvx5t5poq2,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.015085743740200996,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
A. Ngueukam,7onne12jg3471w844xoyvjh79,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.047290053218603134,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
A. Larsson,7d326gljgym4qtmxvx5t5poq2,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.1278417855501175,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
P. Pennanen,59d5otjevb4zussjofufdg4ph,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.06051647663116455,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
P. Pennanen,59d5otjevb4zussjofufdg4ph,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.0568883940577507,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
D. Parfitt-Williams,5k1kwehh9ck6nlqugcurw1yi1,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.05969887599349022,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
S. Anini,emdm2ibw4b2ctav7n19d92hka,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.03424151614308357,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
A. Ngueukam,7onne12jg3471w844xoyvjh79,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.12101350724697113,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
P. Pennanen,59d5otjevb4zussjofufdg4ph,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.025462396442890167,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
M. Sumusalo,byudescfxvi1kxlpncbv0mymt,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.07379637658596039,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
S. Anini,emdm2ibw4b2ctav7n19d92hka,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.04615633934736252,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
A. Ngueukam,7onne12jg3471w844xoyvjh79,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.037646278738975525,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
A. Ngamba,c1018jlukfgaia6hv08vqgtt5,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.04866635054349899,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
P. Pennanen,59d5otjevb4zussjofufdg4ph,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.7884,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
P. Pennanen,59d5otjevb4zussjofufdg4ph,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.03255583718419075,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
A. Ngueukam,7onne12jg3471w844xoyvjh79,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.06653186678886414,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
P. Pennanen,59d5otjevb4zussjofufdg4ph,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.43885788321495056,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
D. Arifi,doxrlp6910n9l5b5zl8ee73ai,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.05657501891255379,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
J. Hopcutt,3t52v4yj7lw13mrb7ueg6n651,3ptum5fjcgw51mqui0gu6uuf4,Mariehamn,0.02088695578277111,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
S. Haarala,a3jetivxcnpp4z36nhboz5ysq,2rdnn9p03qrmmv34tyx1nahpa,Ilves,0.17957572638988495,Mariehamn vs Ilves,m0b2bsdnoxhzg6yeypvix1xw,2023-04-05
E. Bashkirov,19yfn0sushy5fc003vhn0skwl,duspptyvnr5kpx2iko5gerhnz,VPS,0.017138835042715073,VPS vs Lahti,m4anz5xlu06gzpbwq6fy2oes,2023-04-05
B. Mensah,4c2n9v3pspj3luzb2jhoj3vf9,duspptyvnr5kpx2iko5gerhnz,VPS,0.02123948559165001,VPS vs Lahti,m4anz5xlu06gzpbwq6fy2oes,2023-04-05
B. Mensah,4c2n9v3pspj3luzb2jhoj3vf9,duspptyvnr5kpx2iko5gerhnz,VPS,0.025186415761709213,VPS vs Lahti,m4anz5xlu06gzpbwq6fy2oes,2023-04-05
S. Strandvall,4apk0hdboc9ghjyc7o6jc14gl,duspptyvnr5kpx2iko5gerhnz,VPS,0.03748837858438492,VPS vs Lahti,m4anz5xlu06gzpbwq6fy2oes,2023-04-05
