playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
M. Keita,Antwerp,Sporting Charleroi vs Antwerp,0.0,0.0
M. Konaté,Mechelen,Club Brugge vs Mechelen,0.0,0.0
M. Koné,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
M. Maertens,OH Leuven,Beerschot vs OH Leuven,0.0,0.0
M. Mampassi,Kortrijk,Kortrijk vs Gent,0.0,0.0
M. N'Diaye,Anderlecht,Anderlecht vs Sint-Truiden,0.0,0.0
M. Nzita,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
M. Penders,Genk,Genk vs Standard Liège,0.0,0.0
M. Rits,Anderlecht,Anderlecht vs Sint-Truiden,0.0,0.0
M. Samoise,Gent,Kortrijk vs Gent,0.0,0.0
M. Skóraś,Club Brugge,Club Brugge vs Mechelen,0.0,0.0
M. Smets,Genk,Genk vs Standard Liège,0.0,0.0
M. Stroeykens,Anderlecht,Anderlecht vs Sint-Truiden,0.0,0.0
M. Verrips,Dender,Dender vs Union Saint-Gilloise,0.0,0.0
M. Viltard,Dender,Dender vs Union Saint-Gilloise,0.0,0.0
Mujaid Sadick,Genk,Genk vs Standard Liège,0.0,0.0
N. Adedeji-Sternberg,Genk,Genk vs Standard Liège,0.0,0.0
N. Angulo,Anderlecht,Anderlecht vs Sint-Truiden,0.0,0.0
N. Fadiga,Gent,Kortrijk vs Gent,0.0,0.0
N. Madsen,Westerlo,Westerlo vs Cercle Brugge,0.0,0.0
N. Mehssatou,Kortrijk,Kortrijk vs Gent,0.0,0.0
N. Rôdes,Dender,Dender vs Union Saint-Gilloise,0.0,0.0
N. Sadiki,Union Saint-Gilloise,Dender vs Union Saint-Gilloise,0.0,0.0
Nacho Ferri,Kortrijk,Kortrijk vs Gent,0.0,0.0
O. De Wolf,Mechelen,Club Brugge vs Mechelen,0.0,0.0
O. Dumont,Sint-Truiden,Anderlecht vs Sint-Truiden,0.0,0.0
Oday Dabbagh,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
Oh Hyeon-Gyu,Genk,Genk vs Standard Liège,0.0,0.0
P. Dahl,Mechelen,Club Brugge vs Mechelen,0.0,0.0
P. David,Union Saint-Gilloise,Dender vs Union Saint-Gilloise,0.0,0.0
P. Gerkens,Gent,Kortrijk vs Gent,0.0,0.0
P. Guiagon,Sporting Charleroi,Sporting Charleroi vs Antwerp,0.0,0.0
P. Gunnarsson,Kortrijk,Kortrijk vs Gent,0.0,0.0
P. Pflücke,Mechelen,Club Brugge vs Mechelen,0.0,0.0
