player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
G. Gavrilaș,d8r0u54f87hdnvypok92flxp1,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,NaN,NaN,Goalkeeper,Centre,NaN,19,NaN,1,NaN,28,2,NaN,2,27,33,90,20,2,11,6,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,10,ROU,Liga_I,2025_2026
A. Sava,az4n85dn4ucu85612rypbfkk5,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,6,1,Defender,Left,NaN,27,1,6,11,12,1,NaN,18,33,16,90,20,8,1,27,9,11,NaN,1,1,NaN,1,8,1,NaN,NaN,NaN,NaN,NaN,2,NaN,,NaN,NaN,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,19,ROU,Liga_I,2025_2026
G. Caramalău,ec52zy8e6i687radofoosr5uy,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,9,8,Defender,Left/Centre,NaN,20,NaN,8,NaN,18,2,NaN,5,25,21,90,16,2,2,7,1,2,NaN,3,NaN,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,9,ROU,Liga_I,2025_2026
G. Dumitru,8x6t7hydikurpw1vbfxcxvms4,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,5,2,Defender,Centre/Right,NaN,33,1,5,NaN,28,6,NaN,7,41,29,90,20,6,7,14,3,6,1,1,1,1,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,9,ROU,Liga_I,2025_2026
C. Kouadio,7srw5982drbslyaead1aizv56,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,NaN,NaN,Defender,Right,NaN,23,4,7,2,13,2,4,10,31,15,90,15,5,5,19,7,11,NaN,1,NaN,3,2,3,2,1,3,1,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,14,ROU,Liga_I,2025_2026
Y. Zakir,96i2e2mi4lmgdvjishiur47l6,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,2,1,Midfielder,Left,NaN,8,NaN,3,NaN,6,NaN,NaN,2,10,6,56,1,3,2,4,2,3,1,NaN,1,2,1,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,,1,NaN,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,4,ROU,Liga_I,2025_2026
R. Milea,6rebqy59zv7n6zuptfmaz5xxw,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,4,NaN,Midfielder,Left/Centre,NaN,39,NaN,6,1,21,4,NaN,18,45,23,81,9,2,8,22,11,15,1,NaN,1,1,NaN,NaN,NaN,1,2,NaN,NaN,3,NaN,NaN,,4,4,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,9,ROU,Liga_I,2025_2026
Júnior Morais,bazugdjjj268axuok490fnqhh,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,2,2,Midfielder,Centre/Right,NaN,41,2,6,1,16,2,2,27,47,17,66,21,9,6,34,8,11,NaN,1,NaN,4,2,2,2,2,1,NaN,NaN,NaN,NaN,NaN,,2,2,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,8,ROU,Liga_I,2025_2026
D. Irimia,37zxg1o30qvt83lzw0a9eyivo,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,7,NaN,Midfielder,Right,NaN,20,4,3,NaN,6,NaN,NaN,14,24,7,81,4,2,1,17,7,10,1,3,1,1,1,NaN,1,NaN,3,NaN,NaN,NaN,NaN,NaN,,3,3,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,14,ROU,Liga_I,2025_2026
D. Huiban,2gaanahnwtl0k0sxc62id7t91,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,4,1,Striker,Left/Centre,NaN,17,3,2,NaN,10,NaN,1,10,18,10,90,3,1,2,11,7,8,1,1,1,1,NaN,NaN,NaN,1,2,1,NaN,1,NaN,NaN,,NaN,NaN,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,7,ROU,Liga_I,2025_2026
D. Ubbink,a2lulhr3kqnyt312nz58ei4et,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,5,3,Striker,Centre/Right,NaN,21,2,1,4,7,NaN,NaN,15,30,9,66,14,5,NaN,22,9,15,2,NaN,2,NaN,NaN,NaN,NaN,1,1,1,1,NaN,NaN,NaN,,3,3,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,12,ROU,Liga_I,2025_2026
A. Gheorghe,5l3019jbkgooi8dqvf3jy8tn8,Metaloglobus,4dwrbf4ky8z96sjvocwird7wm,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,442,NaN,Metaloglobus vs Universitatea Cluj,asx5nqns61vkc48mvj1hz9wyc,2025-07-11,NaN,ROU,Liga_I,2025_2026
