player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
M. Pigliacelli,du1u4pei042uevpn0j3i1t7md,Catanzaro,91dpo3oaxg1kschcxbedwlxps,NaN,NaN,Goalkeeper,Centre,NaN,19,NaN,NaN,1,21,2,NaN,4,26,24,90,13,3,7,8,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,8,ITA,Serie_B,2025_2026
D. Bettella,6q399v3gfhhxbwlclo7ku27l5,Catanzaro,91dpo3oaxg1kschcxbedwlxps,4,1,Defender,Left/Centre,NaN,20,NaN,1,NaN,17,1,NaN,5,23,17,45,7,2,3,8,1,2,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,3,ITA,Serie_B,2025_2026
Matias Antonini,edaw98sy1kz8b2f8lsrx1y1gp,Catanzaro,91dpo3oaxg1kschcxbedwlxps,3,1,Defender,Centre,NaN,24,NaN,4,1,21,NaN,NaN,4,29,22,45,6,1,NaN,8,1,3,NaN,3,NaN,NaN,1,NaN,1,NaN,2,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,5,ITA,Serie_B,2025_2026
N. Brighenti,7aveyn9mclotzw9zzt7eb1uqd,Catanzaro,91dpo3oaxg1kschcxbedwlxps,4,1,Defender,Centre/Right,NaN,49,NaN,6,2,26,NaN,NaN,24,57,29,90,10,8,1,29,6,10,1,4,1,1,1,NaN,1,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,9,ITA,Serie_B,2025_2026
C. Favasuli,be4csmuoic0b982roo7otauj8,Catanzaro,91dpo3oaxg1kschcxbedwlxps,2,1,Midfielder,Left/Centre,NaN,34,2,5,NaN,14,1,2,20,37,14,90,4,2,3,25,9,11,1,2,1,NaN,NaN,2,NaN,2,4,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,8,ITA,Serie_B,2025_2026
S. Pontisso,a9uld1bh33t6dtz3qco6knjzd,Catanzaro,91dpo3oaxg1kschcxbedwlxps,3,2,Midfielder,Centre,NaN,38,1,NaN,20,16,1,NaN,31,42,17,84,10,6,1,45,11,15,1,NaN,5,NaN,NaN,10,NaN,1,2,1,NaN,NaN,4,1,NaN,3,3,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,17,ITA,Serie_B,2025_2026
T. Cassandro,e3o8o5b5sxbjd2s17w14rmga,Catanzaro,91dpo3oaxg1kschcxbedwlxps,2,2,Midfielder,Centre/Right,NaN,49,NaN,9,8,15,1,NaN,39,54,17,90,15,14,3,46,24,27,2,3,2,2,NaN,7,NaN,1,2,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,12,ITA,Serie_B,2025_2026
A. Cissè,498kxii7w64hmki575xdur28k,Catanzaro,91dpo3oaxg1kschcxbedwlxps,5,2,Attacking Midfielder,Left,NaN,21,1,6,6,7,NaN,NaN,16,26,7,90,12,3,3,26,11,16,NaN,NaN,NaN,1,NaN,5,NaN,3,8,3,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,16,ITA,Serie_B,2025_2026
P. Iemmello,avlpzi62l8zll11bhxhlbcxqt,Catanzaro,91dpo3oaxg1kschcxbedwlxps,NaN,NaN,Attacking Midfielder,Centre,NaN,14,NaN,2,2,3,NaN,NaN,12,17,4,90,3,1,NaN,14,8,10,NaN,1,NaN,NaN,NaN,NaN,NaN,2,3,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331,1,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,5,ITA,Serie_B,2025_2026
F. Rispoli,f1m909psj8pade5uijf0c4yz8,Catanzaro,91dpo3oaxg1kschcxbedwlxps,1,1,Attacking Midfielder,Right,NaN,6,1,5,1,3,NaN,1,4,12,3,45,7,2,2,10,4,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3331,NaN,Catanzaro vs Juve Stabia,auuftmxaacmuplid6ux8mpmvo,2025-09-26,9,ITA,Serie_B,2025_2026
