player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,totalLongBalls,goals,label,match_id,date,possLostAll,country,league_name,season
Ž. Frelih,k5zoj6nv60whksh42eztymsp,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,NaN,NaN,Goalkeeper,Centre,NaN,14,NaN,NaN,NaN,14,1,NaN,4,22,17,90,24,5,11,13,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,18,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,12,SVK,1_liga,2025_2026
P. Karhan,bkwvqabu13v1d8kt207rvc00k,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,3,2,Defender,Left/Centre,NaN,49,2,8,2,27,3,2,24,60,29,90,27,10,7,33,10,15,NaN,4,NaN,4,4,NaN,4,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,8,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,11,SVK,1_liga,2025_2026
P. Nwadike,85jw7q58nuiekjl7snvmkjyp6,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,13,9,Defender,Centre,NaN,43,NaN,12,NaN,30,3,NaN,16,54,37,90,17,6,4,20,4,6,NaN,10,NaN,1,3,NaN,3,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,3,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,11,SVK,1_liga,2025_2026
M. Ujlaky,bpa4041uf6rhu659hwa08o1lg,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,6,1,Defender,Centre/Right,NaN,49,NaN,5,NaN,25,3,NaN,25,54,26,90,23,10,6,29,9,10,NaN,1,NaN,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343,4,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,8,SVK,1_liga,2025_2026
M. Tomič,8aafj44ljp6uds7sy7v8o9j3d,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,4,1,Midfielder,Left,NaN,24,1,2,1,6,NaN,NaN,18,31,6,70,12,6,5,26,10,14,2,1,3,5,NaN,1,NaN,1,2,1,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,343,2,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,14,SVK,1_liga,2025_2026
G. Moistsrapishvili,7ajpbuluuj3qhbe2fy0zmaz56,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,4,NaN,Midfielder,Left/Centre,NaN,44,1,3,6,17,NaN,NaN,30,47,17,70,9,11,8,39,12,14,NaN,NaN,2,6,NaN,4,NaN,2,3,1,NaN,2,NaN,NaN,NaN,1,1,1,1,343,2,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,16,SVK,1_liga,2025_2026
M. Kratochvíl,9nf6sppqywgsvrzrg99xaq76d,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,6,NaN,Midfielder,Centre/Right,NaN,56,1,5,NaN,19,2,NaN,39,63,20,90,14,10,6,46,16,21,1,NaN,1,4,NaN,1,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,4,4,NaN,NaN,343,4,1,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,13,SVK,1_liga,2025_2026
L. Holík,cm7ceie86tfwjhbqk76pvic4p,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,2,1,Midfielder,Right,NaN,33,1,2,10,9,2,1,28,37,9,90,18,7,3,37,15,16,5,NaN,5,1,NaN,9,NaN,1,3,1,NaN,NaN,4,1,NaN,NaN,NaN,NaN,NaN,343,4,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,13,SVK,1_liga,2025_2026
S. Škrbo,269h5oycdn2yy8ndlg0xbu7vu,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,1,1,Striker,Left/Centre,NaN,27,4,6,3,6,2,4,22,35,8,80,12,5,4,29,15,20,3,NaN,3,1,NaN,1,NaN,2,4,2,1,1,NaN,2,1,3,3,NaN,NaN,343,1,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,10,SVK,1_liga,2025_2026
J. Paur,eim53fbgajnpydps3071jxivp,Spartak Trnava,e2eyddqxo12gs0dhbsb7l5pua,6,4,Striker,Centre,NaN,17,1,4,2,4,NaN,1,13,27,5,89,9,2,3,22,4,11,2,3,2,1,NaN,NaN,NaN,1,5,2,NaN,2,NaN,1,NaN,3,3,NaN,NaN,343,2,NaN,Spartak Trnava vs Tatran Prešov,3gtz4855en82yhjzfy1qno07o,2025-08-10,13,SVK,1_liga,2025_2026
