playerName,team_name,318.0,label,date
V. Buchholdt,Aabenraa,0.00006671,Aabenraa vs Midtjylland,2023-09-06
H. Dalsgaard,Midtjylland,0.00001152,Aabenraa vs Midtjylland,2023-09-06
C. Larsen,Aabenraa,0.00000827,Aabenraa vs Midtjylland,2023-09-06
A. Gabriel,Midtjylland,0.00002472,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.00003104,Aabenraa vs Midtjylland,2023-09-06
A. Gabriel,Midtjylland,0.00969106,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.00002811,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00368599,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00395133,Aabenraa vs Midtjylland,2023-09-06
V. Buchholdt,Aabenraa,0.00000604,Aabenraa vs Midtjylland,2023-09-06
A. Gabriel,Midtjylland,0.11259504,Aabenraa vs Midtjylland,2023-09-06
C. Larsen,Aabenraa,0.00000579,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.00005114,Aabenraa vs Midtjylland,2023-09-06
V. Buchholdt,Aabenraa,0.00000654,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00002406,Aabenraa vs Midtjylland,2023-09-06
C. Larsen,Aabenraa,0.00004327,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.00001823,Aabenraa vs Midtjylland,2023-09-06
A. Gabriel,Midtjylland,0.00109582,Aabenraa vs Midtjylland,2023-09-06
I. Fossum,Midtjylland,0.00072856,Aabenraa vs Midtjylland,2023-09-06
I. Fossum,Midtjylland,0.06869252,Aabenraa vs Midtjylland,2023-09-06
O. Brynhildsen,Midtjylland,0.00063376,Aabenraa vs Midtjylland,2023-09-06
N. Dyhr,Midtjylland,0.00000231,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00000317,Aabenraa vs Midtjylland,2023-09-06
H. Dalsgaard,Midtjylland,0.00022259,Aabenraa vs Midtjylland,2023-09-06
Marrony,Midtjylland,0.00009711,Aabenraa vs Midtjylland,2023-09-06
A. Rømer,Midtjylland,0.00029424,Aabenraa vs Midtjylland,2023-09-06
Marrony,Midtjylland,0.0003341,Aabenraa vs Midtjylland,2023-09-06
A. Gabriel,Midtjylland,0.0002359,Aabenraa vs Midtjylland,2023-09-06
V. Buchholdt,Aabenraa,0.00000973,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00041128,Aabenraa vs Midtjylland,2023-09-06
Marrony,Midtjylland,0.00022948,Aabenraa vs Midtjylland,2023-09-06
C. Larsen,Aabenraa,0.0000013,Aabenraa vs Midtjylland,2023-09-06
NaN,Aabenraa,0.00000042,Aabenraa vs Midtjylland,2023-09-06
A. Gabriel,Midtjylland,0.00084943,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.0000636,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00006383,Aabenraa vs Midtjylland,2023-09-06
A. Rømer,Midtjylland,0.00000424,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.00000571,Aabenraa vs Midtjylland,2023-09-06
A. Rømer,Midtjylland,0.00005238,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00001366,Aabenraa vs Midtjylland,2023-09-06
H. Dalsgaard,Midtjylland,0.00001542,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.00016147,Aabenraa vs Midtjylland,2023-09-06
N. Dyhr,Midtjylland,0.00005622,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.00018526,Aabenraa vs Midtjylland,2023-09-06
N. Dyhr,Midtjylland,0.00008492,Aabenraa vs Midtjylland,2023-09-06
H. Dalsgaard,Midtjylland,0.00150745,Aabenraa vs Midtjylland,2023-09-06
A. Gabriel,Midtjylland,0.00050826,Aabenraa vs Midtjylland,2023-09-06
Marrony,Midtjylland,0.00391956,Aabenraa vs Midtjylland,2023-09-06
N. Dyhr,Midtjylland,0.00048371,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00308696,Aabenraa vs Midtjylland,2023-09-06
N. Dyhr,Midtjylland,0.1365897,Aabenraa vs Midtjylland,2023-09-06
M. Bech,Midtjylland,0.00006237,Aabenraa vs Midtjylland,2023-09-06
A. Rømer,Midtjylland,0.00001773,Aabenraa vs Midtjylland,2023-09-06
H. Dalsgaard,Midtjylland,0.00004157,Aabenraa vs Midtjylland,2023-09-06
A. Rømer,Midtjylland,0.00001272,Aabenraa vs Midtjylland,2023-09-06
H. Dalsgaard,Midtjylland,0.00001599,Aabenraa vs Midtjylland,2023-09-06
B. Nielsen,Aabenraa,0.00006945,Aabenraa vs Midtjylland,2023-09-06
Charles,Midtjylland,0.00023688,Aabenraa vs Midtjylland,2023-09-06
