playerName,team_name,318.0,label,date
T. Neugebauer,Lechia Gdańsk,0.00001532,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Leszczyński,Śląsk Wrocław,0.00000075,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00000378,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
D. Piła,Lechia Gdańsk,0.00000275,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Pokorný,Śląsk Wrocław,0.00000174,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Chindriş,Lechia Gdańsk,0.00000492,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00000368,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
E. Olsson,Lechia Gdańsk,0.00001598,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Pokorný,Śląsk Wrocław,0.00001336,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Chindriş,Lechia Gdańsk,0.0000155,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Schwarz,Śląsk Wrocław,0.00000437,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
E. Olsson,Lechia Gdańsk,0.00002875,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Szota,Śląsk Wrocław,0.00001008,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
M. Kałahur,Lechia Gdańsk,0.00103013,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
M. Żukowski,Śląsk Wrocław,0.00000005,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00000027,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
L. D'Arrigo,Lechia Gdańsk,0.00108983,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Leszczyński,Śląsk Wrocław,0.00000199,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Szota,Śląsk Wrocław,0.00000335,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Petkov,Śląsk Wrocław,0.00000523,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00000643,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
L. D'Arrigo,Lechia Gdańsk,0.00055732,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Kapič,Lechia Gdańsk,0.00020887,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Petkov,Śląsk Wrocław,0.00000408,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Szota,Śląsk Wrocław,0.00000043,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
I. Zhelizko,Lechia Gdańsk,0.00003862,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Leszczyński,Śląsk Wrocław,0.00015184,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
D. Piła,Lechia Gdańsk,0.00001518,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Chindriş,Lechia Gdańsk,0.00001817,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
E. Olsson,Lechia Gdańsk,0.00006081,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00000727,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
C. Mena,Lechia Gdańsk,0.0002145,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Pokorný,Śląsk Wrocław,0.00002605,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Kapič,Lechia Gdańsk,0.00018345,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
I. Zhelizko,Lechia Gdańsk,0.00016003,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Kapič,Lechia Gdańsk,0.00018763,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
I. Zhelizko,Lechia Gdańsk,0.00016386,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Kapič,Lechia Gdańsk,0.00015893,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
C. Mena,Lechia Gdańsk,0.00013306,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Leszczyński,Śląsk Wrocław,0.00000081,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
I. Zhelizko,Lechia Gdańsk,0.00021755,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Petkov,Śląsk Wrocław,0.00000393,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
E. Olsson,Lechia Gdańsk,0.00042586,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00000422,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
L. D'Arrigo,Lechia Gdańsk,0.00152899,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Petkov,Śląsk Wrocław,0.00000665,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Schwarz,Śląsk Wrocław,0.00088372,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
C. Mena,Lechia Gdańsk,0.0009497,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
D. Piła,Lechia Gdańsk,0.00105614,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
Nahuel Leiva,Śląsk Wrocław,0.00000574,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Szota,Śląsk Wrocław,0.00001251,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Petkov,Śląsk Wrocław,0.00001984,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00001988,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
B. Sarnavskyi,Lechia Gdańsk,0.0000016,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Chindriş,Lechia Gdańsk,0.00003613,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Petkov,Śląsk Wrocław,0.00000893,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Pokorný,Śląsk Wrocław,0.00000451,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Petkov,Śląsk Wrocław,0.00000531,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Kapič,Lechia Gdańsk,0.00003522,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00008825,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
E. Olsson,Lechia Gdańsk,0.00090525,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Petkov,Śląsk Wrocław,0.00000215,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
S. Petrov,Śląsk Wrocław,0.00000042,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
R. Leszczyński,Śląsk Wrocław,0.000044,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
J. Jezierski,Śląsk Wrocław,0.00015769,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Schwarz,Śląsk Wrocław,0.00084831,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
B. Sarnavskyi,Lechia Gdańsk,0.00000053,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Samiec-Talar,Śląsk Wrocław,0.00035576,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
Nahuel Leiva,Śląsk Wrocław,0.00159159,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Chindriş,Lechia Gdańsk,0.00000025,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
B. Sarnavskyi,Lechia Gdańsk,0.00000029,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
J. Jezierski,Śląsk Wrocław,0.00054678,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Samiec-Talar,Śląsk Wrocław,0.00064055,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
B. Sarnavskyi,Lechia Gdańsk,0.00000339,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
A. Chindriş,Lechia Gdańsk,0.00000786,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
Nahuel Leiva,Śląsk Wrocław,0.00183527,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
I. Zhelizko,Lechia Gdańsk,0.00003333,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
P. Samiec-Talar,Śląsk Wrocław,0.00027293,Śląsk Wrocław vs Lechia Gdańsk,2024-07-19
