player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,totalLongBalls,goals,label,match_id,date,possLostAll,country,league_name,season
G. Smit,eqrymyds4rbsioa4vf7nctt61,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,1,NaN,Goalkeeper,Centre,NaN,22,NaN,NaN,NaN,25,NaN,NaN,NaN,37,30,90,21,5,6,11,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532,16,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,16,ISL,Besta_deild,2025
G. Kjeldsen,5m8hupo97b8ivix12uxouyyg9,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,9,5,Defender,Left/Centre,NaN,74,1,1,1,50,2,NaN,25,81,53,90,31,9,3,29,12,13,1,1,1,1,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532,12,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,9,ISL,Besta_deild,2025
E. Sigurbjörnsson,6ysbvl2yr2rd6ekkzwtay611x,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,4,2,Defender,Centre,NaN,65,NaN,1,3,50,1,NaN,17,70,52,90,18,4,2,20,3,5,NaN,1,NaN,1,2,NaN,2,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532,6,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,8,ISL,Besta_deild,2025
M. Hansen,3v860ugnls6i41g106ckqydw5,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,4,2,Defender,Centre/Right,NaN,47,1,1,3,34,NaN,NaN,15,56,34,90,23,12,1,27,7,14,NaN,1,NaN,1,NaN,3,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532,6,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,14,ISL,Besta_deild,2025
A. Kralj,leanv6m97ukx12n5aggvndud,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,1,NaN,Wing Back,Left,NaN,23,NaN,NaN,NaN,13,3,NaN,10,28,14,82,5,2,4,14,3,6,NaN,NaN,NaN,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,532,1,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,5,ISL,Besta_deild,2025
G. Hauksson,crdcn1pqzctrppzhbh7qcyo2y,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,1,1,Wing Back,Right,NaN,17,1,3,4,7,NaN,1,10,21,7,45,3,2,NaN,14,7,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532,6,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,6,ISL,Besta_deild,2025
J. Pedersen,7165hb1x2ygl2j5weox7hy6i2,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,5,NaN,Midfielder,Left/Centre,NaN,64,3,3,4,30,3,1,36,70,31,90,15,9,7,41,13,17,1,1,2,4,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,4,4,NaN,NaN,532,4,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,13,ISL,Besta_deild,2025
T. Phete,dxnjcku8xnrbu6j68dlf7ipjp,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,1,NaN,Midfielder,Centre,NaN,28,2,7,2,15,NaN,2,14,32,16,74,9,1,2,17,4,5,NaN,3,NaN,2,NaN,NaN,NaN,NaN,3,1,NaN,NaN,NaN,NaN,NaN,2,2,NaN,NaN,532,NaN,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,6,ISL,Besta_deild,2025
Á. Hlynsson,ek6hjim80fw059a7u0buqpw4p,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,6,NaN,Midfielder,Centre/Right,NaN,28,3,6,7,5,NaN,1,24,31,5,90,9,4,3,29,18,21,1,1,1,2,NaN,3,NaN,NaN,2,NaN,NaN,1,1,NaN,NaN,2,2,NaN,NaN,532,NaN,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,12,ISL,Besta_deild,2025
D. Montiel,c4kaak2obhba287su1daraggl,Vestri,c8kfgv5o2vu7s6ksemlb1obl3,7,NaN,Striker,Left/Centre,NaN,18,4,5,13,6,2,1,17,24,7,74,14,10,5,30,12,21,NaN,NaN,1,2,NaN,1,NaN,NaN,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532,2,NaN,Vestri vs ÍBV,8euhl983vq1b46v6a84bb3lec,2025-09-28,19,ISL,Besta_deild,2025
