player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
F. Piasecki,ao28obmqcveh1b751phwonv11,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,6,2,Striker,Centre,NaN,3,2,4,NaN,NaN,NaN,1,3,9,NaN,66,3,1,NaN,11,2,7,NaN,1,NaN,NaN,NaN,2,NaN,NaN,3,NaN,NaN,NaN,NaN,NaN,,1,1,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,11,POL,Ekstraklasa,2023_2024
T. Hateley,dbx5lznob6u7d0bclr2ovxx3p,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,NaN,POL,Ekstraklasa,2023_2024
T. Kostadinov,9hwxz4jig9tzvusschssz9r6d,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,1,NaN,Substitute,NaN,Midfielder,7,NaN,2,2,3,1,NaN,4,9,3,7,4,NaN,2,7,1,3,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,3,POL,Ekstraklasa,2023_2024
S. Krykun,1doj52vyyeu5m7rq7geruu8ve,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,2,NaN,Substitute,NaN,Attacker,1,3,4,2,NaN,NaN,2,1,2,1,14,1,NaN,2,4,1,1,NaN,1,NaN,2,NaN,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,5,POL,Ekstraklasa,2023_2024
D. Kądzior,7uy4h0q3bevo7rcp5c9q23e8l,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,NaN,POL,Ekstraklasa,2023_2024
P. Liszewski,1vaq6n1fj8qvmee8y7g03juvo,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,NaN,POL,Ekstraklasa,2023_2024
Miguel Muñoz,8og5oteudjv9r0ae10lhs5a3u,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,NaN,NaN,Substitute,NaN,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,NaN,POL,Ekstraklasa,2023_2024
M. Szczepański,7iwmabib5dwilig14fm0du1nt,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,NaN,NaN,Substitute,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,NaN,POL,Ekstraklasa,2023_2024
K. Szymański,e9roqxv5v9c7rnu2n0v5eb5xx,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,NaN,NaN,Substitute,NaN,Goalkeeper,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,NaN,POL,Ekstraklasa,2023_2024
K. Wilczek,bl2fjdnidmbs7w6ykau5a2uhh,Piast Gliwice,d7i1aj8vnexyqv76yt03d54wc,1,1,Substitute,NaN,Attacker,4,NaN,2,NaN,1,NaN,NaN,4,5,1,24,2,NaN,2,6,2,3,NaN,1,NaN,1,NaN,1,NaN,NaN,3,1,NaN,1,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,2,POL,Ekstraklasa,2023_2024
G. Kobylak,929pe5t0wq4q4rtey9bg7jn1m,Radomiak Radom,5iq037iifttb7jw2zkz2z57pj,NaN,NaN,Goalkeeper,Centre,NaN,9,NaN,1,1,12,1,NaN,4,20,17,90,27,12,7,19,3,12,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,20,POL,Ekstraklasa,2023_2024
D. Abramowicz,648keib6my0hebzeyo35qzbv9,Radomiak Radom,5iq037iifttb7jw2zkz2z57pj,4,1,Defender,Left,NaN,15,NaN,3,4,12,1,NaN,6,22,16,90,14,2,1,9,4,6,NaN,2,NaN,NaN,1,NaN,1,NaN,1,1,NaN,NaN,NaN,NaN,,NaN,NaN,,,4231,NaN,Piast Gliwice vs Radomiak Radom,dvzaz0cdg8xo6efod08zcsis4,2024-03-08,11,POL,Ekstraklasa,2023_2024
