player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
I. Jónsson,5ghzqanbf8v432ekwypz71exh,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,NaN,NaN,Goalkeeper,Centre,NaN,22,NaN,NaN,NaN,22,1,NaN,4,31,27,90,24,5,5,9,2,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,10,ISL,Besta_deild
T. Ibrahimagic,907vbybnr29fma8osmqkfcx9m,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,4,1,Defender,Left,NaN,51,3,6,2,33,2,3,21,52,34,90,17,10,4,22,16,16,NaN,NaN,NaN,1,2,1,2,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,7,ISL,Besta_deild
G. Vatnhamar,8usynge181yxisdxkstt3c3px,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,1,1,Defender,Left/Centre,NaN,50,NaN,5,3,43,9,NaN,7,57,44,90,19,5,10,13,2,7,NaN,2,NaN,1,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,7,ISL,Besta_deild
O. Ekroth,b3trqgol2gifo82io9qgh03x1,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,3,2,Defender,Centre/Right,NaN,62,1,7,NaN,45,2,1,20,65,45,90,31,8,6,23,6,8,NaN,1,NaN,4,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,5,ISL,Besta_deild
K. Gunnarsson,6u5djuy905cnoyqryybwiou7d,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,5,3,Defender,Right,NaN,31,1,3,10,24,1,1,13,37,24,80,11,7,3,29,8,13,NaN,NaN,1,2,NaN,4,NaN,NaN,6,NaN,NaN,NaN,1,1,NaN,NaN,NaN,1,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,20,ISL,Besta_deild
V. Ingimundarson,bp0zfdagfoiqskgw4a9hmyz8p,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,8,2,Midfielder,Left/Centre,NaN,12,3,9,5,4,NaN,2,11,21,7,90,9,7,3,17,6,11,1,1,1,2,1,2,1,NaN,4,NaN,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,16,ISL,Besta_deild
G. Þórðarson,alhnldqbziirmyn3kj1ona044,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,8,2,Midfielder,Centre,NaN,33,2,4,3,24,4,NaN,10,41,26,80,10,6,5,16,5,11,1,NaN,1,1,1,NaN,1,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,15,ISL,Besta_deild
A. Þrándarson,doryp28w8ovkynmxjg8bcdrkl,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,5,2,Midfielder,Centre/Right,NaN,14,NaN,6,2,7,1,NaN,8,18,9,72,6,1,4,11,4,6,1,2,2,2,NaN,2,NaN,NaN,1,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,8,ISL,Besta_deild
D. Djuric,1ab7kipb2rwgqb4nimg43gbqi,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,7,NaN,Striker,Left/Centre,NaN,22,9,5,2,11,3,3,11,25,11,90,4,NaN,6,14,9,11,NaN,NaN,NaN,1,NaN,NaN,NaN,3,3,3,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,433,NaN,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,12,ISL,Besta_deild
H. Guðjónsson,ejco4bcx1c9uurhb53n3moxd5,Víkingur Reykjavík,7gmdb4hmtrz199zv9r66qy9qp,1,NaN,Striker,Centre,NaN,8,NaN,6,NaN,4,1,NaN,6,16,6,89,7,2,1,12,6,11,1,3,1,NaN,NaN,NaN,NaN,5,7,4,NaN,NaN,NaN,NaN,NaN,1,1,2,2,433,2,Víkingur Reykjavík vs FH,b7ezcsh5dij4dr9b221q9i42c,2024-09-25,10,ISL,Besta_deild
