playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
D. Ortíz,Radnički Kragujevac,Mladost Lučani vs Radnički Kragujevac,0.17683959999999999,-0.1216715
D. Pavlović,Radnički Niš,IMT Novi Beograd vs Radnički Niš,0.000902,0.0
D. Rosić,Vojvodina,Vojvodina vs Železničar Pančevo,0.068866,0.0063516
D. Stanković,Tekstilac Odžaci,Tekstilac Odžaci vs TSC,0.0267476,0.0184935
D. Stevanović,TSC,Tekstilac Odžaci vs TSC,0.5062286,0.2200369
D. Stoiljković,Napredak,Crvena zvezda vs Napredak,0.0579959,-0.0071888
D. Stojanović,Novi Pazar,Novi Pazar vs Čukarički,0.1542335,-0.014288
D. Čubra,Napredak,Crvena zvezda vs Napredak,0.0188486,0.0044878999999999995
D. Đurić,Tekstilac Odžaci,Tekstilac Odžaci vs TSC,0.3378519,0.12572409999999998
Depú,Vojvodina,Vojvodina vs Železničar Pančevo,0.0132483,-0.0035417
Dálcio,Crvena zvezda,Crvena zvezda vs Napredak,0.1747904,0.006561899999999999
E. Addo,OFK Beograd,OFK Beograd vs Partizan,0.2745992,0.097637
E. Annan,OFK Beograd,OFK Beograd vs Partizan,0.5984661,0.1571034
E. Opara,Novi Pazar,Novi Pazar vs Čukarički,0.1376451,0.0507736
Evandro,Radnički Kragujevac,IMT Novi Beograd vs Radnički Kragujevac,0.2397604,0.1843946
Evandro,Radnički Kragujevac,Mladost Lučani vs Radnički Kragujevac,0.0453874,-0.0038594000000000002
F. Bačkulja,Novi Pazar,Novi Pazar vs Čukarički,0.1246765,0.0682281
F. Ezeh,Železničar Pančevo,Vojvodina vs Železničar Pančevo,0.3506289,-0.0432733
F. Krstić,Napredak,Crvena zvezda vs Napredak,0.0494317,0.0207373
F. Nwokeabia,Spartak Subotica,Spartak Subotica vs IMT Novi Beograd,0.0317507,-0.047638099999999996
F. Sredojević,Tekstilac Odžaci,Tekstilac Odžaci vs TSC,0.1053848,0.0507511
F. Stojilković,OFK Beograd,OFK Beograd vs Partizan,0.1324732,0.036179199999999995
F. Žunić,Mladost Lučani,Mladost Lučani vs Radnički Kragujevac,0.0526627,0.028724699999999995
G. Vadze,Čukarički,Novi Pazar vs Čukarički,0.2386464,-0.012171699999999999
G. Vlijter,OFK Beograd,OFK Beograd vs Partizan,0.0976417,0.036480900000000004
G. Zahid,Partizan,OFK Beograd vs Partizan,0.3903038,0.0806108
Goh Young-Jun,Partizan,OFK Beograd vs Partizan,0.1894131,0.03260130000000001
H. Diop,Čukarički,Novi Pazar vs Čukarički,0.111495,0.0532088
I. Babić,Spartak Subotica,Spartak Subotica vs IMT Novi Beograd,0.6191641,0.3186981
I. Davidović,Tekstilac Odžaci,Tekstilac Odžaci vs TSC,0.2963485,0.042507199999999995
I. Kargbo,Jedinstvo Ub,Jedinstvo Ub vs Radnički Niš,0.1539638,0.0625466
I. Lakićević,Novi Pazar,Novi Pazar vs Čukarički,0.2103833,0.059058299999999994
I. Milosavljević,TSC,Tekstilac Odžaci vs TSC,0.364089,0.1964808
I. Ostojić,Napredak,Crvena zvezda vs Napredak,0.0729006,0.0290341
I. Tanko,Radnički Niš,IMT Novi Beograd vs Radnički Niš,0.0,0.0
I. Tanko,Radnički Niš,Jedinstvo Ub vs Radnički Niš,0.0110577,-0.017211200000000003
I. Yurukov,Radnički Niš,IMT Novi Beograd vs Radnički Niš,0.0,0.0
I. Yurukov,Radnički Niš,Jedinstvo Ub vs Radnički Niš,0.4732821,0.1146031
I. Zulfić,IMT Novi Beograd,IMT Novi Beograd vs Radnički Kragujevac,0.08448169999999999,0.0163145
I. Zulfić,IMT Novi Beograd,IMT Novi Beograd vs Radnički Niš,0.0,0.0
I. Zulfić,IMT Novi Beograd,Spartak Subotica vs IMT Novi Beograd,0.2339361,0.040801000000000004
I. Đakovac,TSC,Tekstilac Odžaci vs TSC,0.6436646,0.31668409999999997
J. Jevremović,Železničar Pančevo,Vojvodina vs Železničar Pančevo,0.3976264,0.198174
J. Marinković,Napredak,Crvena zvezda vs Napredak,0.0764193,0.025846
J. Mituljikić,Novi Pazar,Novi Pazar vs Čukarički,0.0749855,0.0460141
J. Nišić,Radnički Niš,IMT Novi Beograd vs Radnički Niš,0.001191,0.0
J. Nišić,Radnički Niš,Jedinstvo Ub vs Radnički Niš,0.5448876,0.2084774
