player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date
Jesús,7b7uk6cp2dwvhe1x1e1mgv5cl,c9vx2qcl04ab9uiab1gb7jk3k,NaN,NaN,Goalkeeper,Centre,NaN,4,NaN,NaN,NaN,8,2,NaN,NaN,10,13,90,9,NaN,10,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
I. Armaș,7j3gbvtw6y4p6qb4siui5uok5,c9vx2qcl04ab9uiab1gb7jk3k,4,2,Defender,Left/Centre,NaN,35,NaN,8,2,26,1,NaN,13,50,32,90,28,10,2,22,5,11,NaN,6,NaN,1,2,NaN,2,NaN,4,3,NaN,NaN,NaN,NaN,,NaN,NaN,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
P. Matricardi,r0h4nkl11fcfb9v4alwtljv9,c9vx2qcl04ab9uiab1gb7jk3k,1,1,Defender,Centre,NaN,31,NaN,3,1,28,5,NaN,5,38,32,90,11,3,6,9,NaN,3,NaN,3,NaN,1,4,1,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
G. Turda,pmwod91mbs0bt425byjaabxl,c9vx2qcl04ab9uiab1gb7jk3k,3,1,Defender,Centre/Right,NaN,42,1,5,NaN,24,4,NaN,20,55,30,79,36,13,7,27,8,13,NaN,2,NaN,3,4,NaN,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
N. Cârnat,qmjdyeku8agitnnmskqsu11x,c9vx2qcl04ab9uiab1gb7jk3k,2,1,Midfielder,Left,NaN,23,3,10,4,12,3,2,12,33,17,90,17,4,4,20,9,12,NaN,1,NaN,1,1,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
L. Crepulja,ai5cnyn9zjkdlzma3goj7m7yt,c9vx2qcl04ab9uiab1gb7jk3k,3,1,Midfielder,Left/Centre,NaN,44,NaN,3,NaN,18,2,NaN,27,50,21,90,16,15,12,30,19,21,1,2,1,10,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
V. Raţă,cnblvdds21mqt0k5irjb5gixh,c9vx2qcl04ab9uiab1gb7jk3k,6,2,Midfielder,Centre/Right,NaN,47,NaN,3,11,18,2,NaN,33,57,21,90,16,8,14,47,10,17,1,NaN,5,9,2,5,2,1,NaN,NaN,NaN,3,NaN,1,,NaN,NaN,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
Ricardinho,f2fxhj2uuzsf9om2ejh1xc79x,c9vx2qcl04ab9uiab1gb7jk3k,5,1,Midfielder,Right,NaN,30,2,2,11,14,2,NaN,18,44,15,90,21,11,5,36,10,17,NaN,NaN,NaN,3,1,7,1,NaN,2,1,NaN,NaN,2,NaN,,NaN,NaN,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
R. Popescu,djar9262xoo2h56e0f6cbmj9w,c9vx2qcl04ab9uiab1gb7jk3k,1,NaN,Striker,Left/Centre,NaN,8,NaN,3,2,3,NaN,NaN,5,10,4,45,1,NaN,2,9,1,2,NaN,NaN,NaN,2,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,3,3,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
A. Nemec,dgjs0k1f077st5j1cc8l6cvkl,c9vx2qcl04ab9uiab1gb7jk3k,7,4,Striker,Centre,NaN,16,2,11,2,5,1,NaN,11,31,8,90,8,5,4,25,9,15,NaN,8,NaN,2,NaN,2,NaN,NaN,3,NaN,1,1,NaN,NaN,,4,2,,,343,,Voluntari vs Universitatea Cluj,ejqy7ujbn6h5wzg5n83qn7od0,2024-03-08
