player_matchName,player_playerId,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll
B. Reus,8tkhq0olg84yr1174sgcrxkru,ecakpwuj70mwiptbpd1i3xgzd,NaN,NaN,Goalkeeper,Centre,NaN,21,NaN,1,NaN,20,1,NaN,5,31,23,90,26,6,9,18,2,6,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,4231,NaN,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,16
A. Corryn,3vvr419ewr112xr5weted4tsl,ecakpwuj70mwiptbpd1i3xgzd,5,1,Defender,Left,NaN,21,1,6,1,18,3,1,4,28,20,90,16,2,5,10,2,3,NaN,NaN,NaN,1,1,1,1,NaN,NaN,NaN,NaN,1,NaN,,,NaN,NaN,NaN,NaN,4231,NaN,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,11
D. Wuytens,58ps6jz25uvo7ggusmpyr2wnp,ecakpwuj70mwiptbpd1i3xgzd,3,2,Defender,Left/Centre,NaN,37,NaN,1,NaN,37,2,NaN,1,40,38,79,10,1,2,3,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,4231,NaN,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,4
A. Khatir,cfsoo7mido1ai3cltohicx72s,ecakpwuj70mwiptbpd1i3xgzd,1,NaN,Defender,Centre/Right,NaN,43,NaN,5,1,41,4,NaN,7,54,45,89,16,6,5,15,2,6,NaN,1,NaN,1,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,4231,NaN,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,12
L. Jans,5m7g9gg8drcqu44iavj7gwvrp,ecakpwuj70mwiptbpd1i3xgzd,3,1,Defender,Right,NaN,20,NaN,4,1,12,2,NaN,8,29,14,90,10,5,3,16,5,7,NaN,2,NaN,1,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,4231,NaN,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,12
S. Dewaele,3s0tyude1pghox634ij87srft,ecakpwuj70mwiptbpd1i3xgzd,8,5,Defensive Midfielder,Left/Centre,NaN,15,NaN,NaN,1,6,1,NaN,11,21,9,90,12,5,3,14,7,7,NaN,NaN,1,1,2,NaN,2,NaN,NaN,NaN,NaN,1,NaN,,,NaN,NaN,NaN,NaN,4231,NaN,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,8
J. Geusens,e8iedufshdq58novt3uevsrqi,ecakpwuj70mwiptbpd1i3xgzd,7,NaN,Defensive Midfielder,Centre/Right,NaN,19,1,4,1,10,3,1,11,25,14,89,9,4,7,13,5,6,1,NaN,1,4,2,1,2,3,1,1,NaN,NaN,1,,,1,NaN,NaN,NaN,4231,1,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,10
A. Limbombe,ebnm8xj9pggemio5qay9pcc0l,ecakpwuj70mwiptbpd1i3xgzd,3,1,Attacking Midfielder,Left,NaN,21,3,3,4,8,NaN,2,14,24,9,90,7,2,4,18,8,10,4,1,5,4,NaN,3,NaN,1,2,1,NaN,NaN,1,,,4,4,NaN,NaN,4231,1,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,10
M. Servais,5vnahevg5ni0uopeyk1c9u0b8,ecakpwuj70mwiptbpd1i3xgzd,12,1,Attacking Midfielder,Centre,NaN,15,7,2,2,7,1,NaN,8,18,9,89,4,3,4,11,4,5,NaN,NaN,NaN,3,NaN,1,NaN,2,2,1,NaN,NaN,NaN,,,NaN,NaN,NaN,NaN,4231,NaN,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,17
S. Coopman,8vv90kqjg12snthxi56kj3is5,ecakpwuj70mwiptbpd1i3xgzd,2,NaN,Attacking Midfielder,Right,NaN,8,1,3,NaN,4,NaN,NaN,4,15,5,66,8,3,3,10,4,7,NaN,1,NaN,2,1,NaN,1,1,3,1,NaN,1,NaN,,,NaN,NaN,NaN,NaN,4231,NaN,SK Beveren vs Lommel,5sc7bvl0ikpvo5ulebog7gob8,2024-08-17,9
