player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name,season
Ó. Helgason,dttyh3fpis2y1iy4tnvlcnpt6,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,NaN,NaN,Goalkeeper,Centre,NaN,8,NaN,NaN,NaN,9,1,NaN,4,14,11,90,21,5,9,18,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,16,ISL,Besta_deild,2023
A. Ásþórsson,9bk0d3pen9gjxogvrcvsryvvt,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,5,NaN,Defender,Left,NaN,19,1,4,8,14,4,1,7,27,16,90,15,8,6,20,4,9,NaN,2,NaN,2,1,3,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,18,ISL,Besta_deild,2023
Á. Eyþórsson,bn6klx7ql8qh49jz37km977x1,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,5,3,Defender,Left/Centre,NaN,45,NaN,4,1,36,1,NaN,10,50,37,90,16,7,5,14,5,8,NaN,4,NaN,4,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,6,ISL,Besta_deild,2023
O. Stefánsson,6j6ojqfc7fm88hsmmhb06v5qt,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,1,1,Defender,Centre/Right,NaN,44,NaN,NaN,2,33,3,NaN,13,51,33,90,22,5,5,21,2,6,1,NaN,1,2,1,NaN,1,NaN,NaN,NaN,1,NaN,NaN,1,1,NaN,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,9,ISL,Besta_deild,2023
U. Ingvarsson,cvkw667kybc5qqa481s3vtvqh,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,2,1,Defender,Right,NaN,25,NaN,4,2,19,5,NaN,8,33,20,90,20,10,6,17,6,9,NaN,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,14,ISL,Besta_deild,2023
B. Garðarsson,c81mnernwn4ki77vjkbg9z2wa,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,3,1,Midfielder,Left,NaN,6,2,3,1,3,NaN,2,3,9,4,64,1,NaN,1,6,1,3,NaN,NaN,NaN,1,1,1,1,1,4,3,NaN,NaN,NaN,NaN,NaN,1,1,1,1,442,1,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,6,ISL,Besta_deild,2023
B. Eyþórsson,c3fgn30eh2dlhaa0g46j9wtii,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,NaN,NaN,Midfielder,Left/Centre,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,16,1,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,1,ISL,Besta_deild,2023
A. Jónsson,1wlddp2l9xr7xmc42vzck0ine,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,5,1,Midfielder,Centre/Right,NaN,21,NaN,3,NaN,17,4,NaN,5,29,22,90,6,1,4,8,1,2,NaN,1,NaN,NaN,2,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,8,ISL,Besta_deild,2023
Ó. Borgþórsson,6a6w5v9pwh31mni0uhgpw3cic,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,4,1,Midfielder,Right,NaN,16,1,6,4,9,2,NaN,8,19,11,73,5,NaN,3,11,2,2,3,NaN,3,1,NaN,3,NaN,1,3,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,11,ISL,Besta_deild,2023
N. Gunnarsson,9udm0jhp7xd1dis8org2pglm2,Fylkir,4ajfjd27jfzjurj7szzr0rsh2,5,NaN,Striker,Left/Centre,NaN,5,1,1,2,2,3,NaN,4,12,4,45,4,2,4,9,3,7,1,NaN,1,1,NaN,NaN,NaN,2,2,2,NaN,NaN,NaN,1,NaN,1,NaN,NaN,NaN,442,NaN,Fylkir vs Keflavík,53sx2gtd3h7a6neeo1551zndg,2023-04-10,11,ISL,Besta_deild,2023
