playerName,team_name,318.0,label,date
Villiam Granath,Halmstad,0.00000993,Värnamo vs Halmstad,2024-04-28
N. Mohammed,Halmstad,0.00324089,Värnamo vs Halmstad,2024-04-28
Vinícius Nogueira,Halmstad,0.00205903,Värnamo vs Halmstad,2024-04-28
Villiam Granath,Halmstad,0.00069274,Värnamo vs Halmstad,2024-04-28
A. Zeljkovic,Värnamo,0.00000327,Värnamo vs Halmstad,2024-04-28
Vinícius Nogueira,Halmstad,0.000027,Värnamo vs Halmstad,2024-04-28
M. Olsson,Halmstad,0.00001393,Värnamo vs Halmstad,2024-04-28
G. Wallentin,Halmstad,0.00001303,Värnamo vs Halmstad,2024-04-28
J. Allansson,Halmstad,0.0004908,Värnamo vs Halmstad,2024-04-28
J. Svedberg,Halmstad,0.00007413,Värnamo vs Halmstad,2024-04-28
C. Johansson,Värnamo,0.00000052,Värnamo vs Halmstad,2024-04-28
G. Wallentin,Halmstad,0.00005443,Värnamo vs Halmstad,2024-04-28
M. Olsson,Halmstad,0.00017402,Värnamo vs Halmstad,2024-04-28
V. Andersson,Värnamo,0.00000051,Värnamo vs Halmstad,2024-04-28
Vinícius Nogueira,Halmstad,0.0000466,Värnamo vs Halmstad,2024-04-28
M. Olsson,Halmstad,0.00001204,Värnamo vs Halmstad,2024-04-28
G. Wallentin,Halmstad,0.00000989,Värnamo vs Halmstad,2024-04-28
J. Baffoe,Halmstad,0.00000086,Värnamo vs Halmstad,2024-04-28
A. Zeljkovic,Värnamo,0.00002635,Värnamo vs Halmstad,2024-04-28
Wenderson,Värnamo,0.00001786,Värnamo vs Halmstad,2024-04-28
C. Johansson,Värnamo,0.000022,Värnamo vs Halmstad,2024-04-28
Wenderson,Värnamo,0.00002989,Värnamo vs Halmstad,2024-04-28
G. Wallentin,Halmstad,0.00000341,Värnamo vs Halmstad,2024-04-28
S. Thern,Värnamo,0.00001062,Värnamo vs Halmstad,2024-04-28
S. Kotto,Värnamo,0.00002072,Värnamo vs Halmstad,2024-04-28
S. Thern,Värnamo,0.00003685,Värnamo vs Halmstad,2024-04-28
S. Kotto,Värnamo,0.00014664,Värnamo vs Halmstad,2024-04-28
J. Allansson,Halmstad,0.00001104,Värnamo vs Halmstad,2024-04-28
A. Zeljkovic,Värnamo,0.00002838,Värnamo vs Halmstad,2024-04-28
P. Ofosu-Ayeh,Halmstad,0.00000692,Värnamo vs Halmstad,2024-04-28
S. Kotto,Värnamo,0.00004959,Värnamo vs Halmstad,2024-04-28
G. Wallentin,Halmstad,0.00001116,Värnamo vs Halmstad,2024-04-28
V. Bergh,Värnamo,0.00002887,Värnamo vs Halmstad,2024-04-28
M. Olsson,Halmstad,0.00000099,Värnamo vs Halmstad,2024-04-28
S. Kotto,Värnamo,0.00003164,Värnamo vs Halmstad,2024-04-28
S. Thern,Värnamo,0.0001237,Värnamo vs Halmstad,2024-04-28
T. Rönning,Halmstad,0.00115443,Värnamo vs Halmstad,2024-04-28
V. Bergh,Värnamo,0.0001296,Värnamo vs Halmstad,2024-04-28
S. Kotto,Värnamo,0.00008721,Värnamo vs Halmstad,2024-04-28
N. Mohammed,Halmstad,0.00527976,Värnamo vs Halmstad,2024-04-28
S. Thern,Värnamo,0.00006961,Värnamo vs Halmstad,2024-04-28
S. Kotto,Värnamo,0.00002564,Värnamo vs Halmstad,2024-04-28
J. Svedberg,Halmstad,0.00077284,Värnamo vs Halmstad,2024-04-28
H. Näsström,Värnamo,0.00002103,Värnamo vs Halmstad,2024-04-28
P. Ofosu-Ayeh,Halmstad,0.03828532,Värnamo vs Halmstad,2024-04-28
F. Adjei,Värnamo,0.00024545,Värnamo vs Halmstad,2024-04-28
Vinícius Nogueira,Halmstad,0.03909811,Värnamo vs Halmstad,2024-04-28
T. Rönning,Halmstad,0.00002069,Värnamo vs Halmstad,2024-04-28
H. Näsström,Värnamo,0.00001976,Värnamo vs Halmstad,2024-04-28
J. Svedberg,Halmstad,0.0003134,Värnamo vs Halmstad,2024-04-28
Wenderson,Värnamo,0.00001874,Värnamo vs Halmstad,2024-04-28
Vinícius Nogueira,Halmstad,0.25468836,Värnamo vs Halmstad,2024-04-28
S. Kotto,Värnamo,0.00001647,Värnamo vs Halmstad,2024-04-28
V. Bergh,Värnamo,0.0000245,Värnamo vs Halmstad,2024-04-28
Wenderson,Värnamo,0.00005023,Värnamo vs Halmstad,2024-04-28
H. Näsström,Värnamo,0.0000904,Värnamo vs Halmstad,2024-04-28
Vinícius Nogueira,Halmstad,0.0000023,Värnamo vs Halmstad,2024-04-28
V. Larsson,Värnamo,0.00016045,Värnamo vs Halmstad,2024-04-28
