playerName,team_name,label,possessionValue.pvValue,possessionValue.pvAdded
B. Burmaz,Rapid Bucureşti,Rapid Bucureşti vs Universitatea Cluj,0.8248535,0.40830580000000005
B. Mitrea,Universitatea Cluj,Rapid Bucureşti vs Universitatea Cluj,0.008790300000000001,0.0054973
B. Oteliță,Sepsi,Sepsi vs Botoșani,0.1332902,0.022777699999999998
B. Siegrist,Rapid Bucureşti,Rapid Bucureşti vs Universitatea Cluj,0.0194063,0.0040288
B. Van Durmen,UTA Arad,UTA Arad vs Hermannstadt,0.4423734,0.2337651
B. Ňinaj,Sepsi,Sepsi vs Botoșani,0.1487805,0.06739919999999999
Berto,Universitatea Cluj,Rapid Bucureşti vs Universitatea Cluj,0.2177286,0.1334928
C. Afalna,Unirea Slobozia,Dinamo Bucureşti vs Unirea Slobozia,0.3459598,0.0651127
C. Amzăr,Dinamo Bucureşti,Dinamo Bucureşti vs Unirea Slobozia,0.3226502,0.097594
C. Amzăr,Dinamo Bucureşti,Oţelul vs Dinamo Bucureşti,0.0940102,-0.0162473
C. Biceanu,Hermannstadt,UTA Arad vs Hermannstadt,0.0620362,0.011119799999999999
C. Braun,Rapid Bucureşti,Rapid Bucureşti vs Universitatea Cluj,0.4061658,0.1486592
C. Budescu,AS FC Buzău,AS FC Buzău vs Oţelul,0.3980242,0.05410639999999999
C. Budescu,AS FC Buzău,Botoșani vs AS FC Buzău,0.5156337,0.05830700000000001
C. Bărbuț,Unirea Slobozia,Dinamo Bucureşti vs Unirea Slobozia,0.3197485,0.0945839
C. Casap,FCV Farul Constanţa,Petrolul 52 vs FCV Farul Constanţa,0.0,0.0
C. Chira,Oţelul,AS FC Buzău vs Oţelul,0.0101749,0.0018566
C. Costin,Dinamo Bucureşti,Dinamo Bucureşti vs Unirea Slobozia,0.0456483,0.0142747
C. Costin,Dinamo Bucureşti,Oţelul vs Dinamo Bucureşti,0.2313573,0.1687457
C. Cîrjan,Dinamo Bucureşti,Dinamo Bucureşti vs Unirea Slobozia,0.2783951,-0.0639837
C. Cîrjan,Dinamo Bucureşti,Oţelul vs Dinamo Bucureşti,0.221667,0.0596234
C. Căbuz,Hermannstadt,UTA Arad vs Hermannstadt,0.0165688,-0.0001319999999999998
C. Deac,CFR Cluj,CFR Cluj vs FCSB,0.5069105,0.054428000000000004
C. Deac,CFR Cluj,Hermannstadt vs CFR Cluj,0.9982049,0.2281307
C. Ganea,FCV Farul Constanţa,Petrolul 52 vs FCV Farul Constanţa,0.16515449999999998,0.0466284
C. Grameni,Rapid Bucureşti,Rapid Bucureşti vs Universitatea Cluj,0.32554920000000004,0.022065000000000005
C. Licsandru,Dinamo Bucureşti,Dinamo Bucureşti vs Unirea Slobozia,0.1109495,0.0701856
C. Licsandru,Dinamo Bucureşti,Oţelul vs Dinamo Bucureşti,0.1446545,0.0886108
C. Manea,Rapid Bucureşti,Rapid Bucureşti vs Universitatea Cluj,0.5276167,0.03990769999999999
C. Matei,Sepsi,Sepsi vs Botoșani,0.2531311,0.0426339
C. Micovschi,Rapid Bucureşti,Rapid Bucureşti vs Universitatea Cluj,0.1275512,-0.064703
C. Mora,Universitatea Craiova,Politehnica Iași vs Universitatea Craiova,0.3053755,0.1514884
C. Neguț,Hermannstadt,Hermannstadt vs CFR Cluj,0.0920681,0.020453299999999997
C. Neguț,Hermannstadt,UTA Arad vs Hermannstadt,0.20518999999999998,0.059450499999999996
C. Petrila,Rapid Bucureşti,Rapid Bucureşti vs Universitatea Cluj,1.2138272,0.39382330000000004
C. Râpă,UTA Arad,UTA Arad vs Hermannstadt,0.1914555,0.138381
