player_matchName,player_playerId,team_name,contestantId,duelLost,aerialLost,player_position,player_positionSide,player_subPosition,successfulOpenPlayPass,totalContest,duelWon,penAreaEntries,accurateBackZonePass,possWonDef3rd,wonContest,accurateFwdZonePass,openPlayPass,totalBackZonePass,minsPlayed,fwdPass,finalThirdEntries,ballRecovery,totalFwdZonePass,successfulFinalThirdPasses,totalFinalThirdPasses,attAssistOpenplay,aerialWon,totalAttAssist,possWonMid3rd,interception,totalCrossNocorner,interceptionWon,attOpenplay,touchesInOppBox,attemptsIbox,totalThroughBall,possWonAtt3rd,accurateCrossNocorner,bigChanceCreated,accurateThroughBall,totalLayoffs,accurateLayoffs,totalFastbreak,shotFastbreak,formationUsed,goals,label,match_id,date,possLostAll,country,league_name
K. Kralj,t4fghwqcqde5h7i1kpu8w93o,Rudeš,7sbwkqxbprov16hqxu943v4sq,NaN,NaN,Goalkeeper,Centre,NaN,9,NaN,NaN,NaN,11,1,NaN,2,13,15,90,13,1,7,4,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,7,HRV,HNL
I. Tomečak,1fxlphk4utrzfx04dk9l4k6ad,Rudeš,7sbwkqxbprov16hqxu943v4sq,4,1,Defender,Left,NaN,35,1,3,6,19,2,1,18,40,19,90,3,2,4,30,8,12,1,1,1,2,NaN,8,NaN,1,2,NaN,NaN,NaN,1,1,NaN,NaN,NaN,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,15,HRV,HNL
J. Bašić,9mxkftdpswmr3cwbquzi46smi,Rudeš,7sbwkqxbprov16hqxu943v4sq,1,1,Defender,Left/Centre,NaN,46,NaN,5,NaN,27,2,NaN,20,53,30,90,27,7,3,24,8,10,NaN,2,NaN,1,2,NaN,2,NaN,2,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,8,HRV,HNL
M. Matić,jsyu9ikyuyoo9khjd2r817xm,Rudeš,7sbwkqxbprov16hqxu943v4sq,2,NaN,Defender,Centre/Right,NaN,59,NaN,3,1,39,4,NaN,23,63,41,90,29,9,9,26,10,11,NaN,1,NaN,5,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,6,HRV,HNL
Miguel Campos,34tqfjoluizan7r4umwemril1,Rudeš,7sbwkqxbprov16hqxu943v4sq,2,NaN,Defender,Right,NaN,51,1,3,2,32,3,1,24,60,36,90,26,7,8,29,7,11,4,NaN,4,4,2,NaN,2,NaN,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,9,HRV,HNL
V. Vukmanović,6mpexflscl08sec31dpold6ac,Rudeš,7sbwkqxbprov16hqxu943v4sq,NaN,NaN,Defensive Midfielder,Left/Centre,NaN,24,NaN,2,1,9,1,NaN,15,28,11,64,10,7,2,17,7,9,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,4,HRV,HNL
L. Pasariček,eaqdg5u0lsnroy8d1lxwam6l1,Rudeš,7sbwkqxbprov16hqxu943v4sq,2,NaN,Defensive Midfielder,Centre/Right,NaN,43,2,2,1,17,4,2,26,50,20,82,19,13,5,30,16,20,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,9,HRV,HNL
A. Lazarov,mlpu1pokq418r882x84gv6ga,Rudeš,7sbwkqxbprov16hqxu943v4sq,4,1,Attacking Midfielder,Left,NaN,19,NaN,NaN,3,8,1,NaN,13,25,9,64,7,5,3,21,9,13,1,NaN,1,2,NaN,NaN,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,1,1,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,10,HRV,HNL
A. Latković,5jg7vbd98ggggt2c9st5muicq,Rudeš,7sbwkqxbprov16hqxu943v4sq,5,NaN,Attacking Midfielder,Centre,NaN,20,6,7,10,3,1,3,21,24,4,90,8,3,2,29,12,14,1,NaN,2,NaN,NaN,3,NaN,3,2,1,NaN,1,1,NaN,NaN,1,1,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,13,HRV,HNL
V. Šare,5s99puo2olm43yum9pjh5zjf8,Rudeš,7sbwkqxbprov16hqxu943v4sq,3,NaN,Attacking Midfielder,Right,NaN,20,NaN,1,6,12,1,NaN,9,23,14,68,7,2,1,17,6,7,1,NaN,1,NaN,NaN,7,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4231,NaN,Rudeš vs Hajduk Split,92qu8r1fth2f8rxvs8yfif21g,2023-08-20,16,HRV,HNL
